Name,RA,DEC,l,b
Swift J151857.0-572147,15:18:57.50,-57:21:48.70,321.8163989,-0.00332943
Swift J1727.8-1613,17:27:43.31,-16:12:19.23,8.6416052,10.25479693
MAXI J1803-298,18:03:02.79,-29:49:49.70,1.1471843,-3.727514
AT 2019wey,04:35:23.27,55:22:34.30,151.1611300,5.29973
MAXI J0637-430,06:36:23.70,42:52:04.70,251.5320370,-20.67473903
MAXI J1348-630,13:48:12.79,-63:16:28.48,309.2640654,-01.10297116
Swift J1728.9-3613,17:28:58.64,-36:14:35.32,351.9548777,-0.96630145
MAXI J1810-222,18:12:39.66,-22:19:25.0,8.7695570,-01.98090632
MAXI J1631-479,16:31:14.22,-47:48:23.44,336.2881394,0.31248069
MAXI J1820+070,18:20:21.94,07:11:07.19,35.8535506,10.1591562
MAXI J1813-095,18:13:34.02,-09:31:59.20,20.1116048,3.94826128
Swift J1658.2-4242,16:58:12.70,-42:41:56.09,343.2512784,0.05342834
MAXI J1535-571,15:35:19.71,-57:13:47.58,323.7240835,-01.12885997
IGR J17454-2919,17:45:27.68,-29:19:53.45,359.6444754,-0.17656165
IGR J17451-3022,17:45:06.72,-30:22:43.30,358.7115137,-0.65799919
MAXI J1828-249,18:28:58.07,-25:01:45.88,8.1151012,-06.5448459
Swift J1753.7-2544,17:53:39.85,-25:45:14.20,3.6476003,0.10353821
Swift J174510.8-262411,17:45:10.85,-26:24:12.60,2.1108255,1.40326586
Swift J1910.2-0546,19:10:22.80,-05:47:55.92,29.9025737,-06.84402939
MAXI J1305-704,13:06:55.30,-70:27:05.11,304.2379729,-07.61898877
MAXI J1836-194,18:35:43.45,-19:19:10.48,13.9456207,-05.35432173
MAXI J1543-564,15:43:17.18,-56:24:49.61,325.0848697,-01.12117655
Swift J1357.2-0933,13:57:16.82,-09:32:38.55,328.7018426,50.0043093
MAXI J1659-152,16:59:01.68,-15:15:28.73,5.5153001,16.52618846
XTE J1752-223,17:52:15.09,-22:20:32.36,6.4231338,2.11431706
XTE J1652-453,16:52:20.33,-45:20:39.99,340.5296446,-0.78676794
Swift J1539.2-6227,15:39:11.96,-62:28:02.30,321.0186501,-05.64277055
Swift J1842.5-1124,18:42:17.45,-11:25:03.90,21.7270436,-03.17903051
Swift J174540.2-290005,17:45:40.10,-29:00:06.40,359.9494702,-0.04315833
IGR J17497-2821,17:49:38.04,-28:21:17.50,0.9531046,-00.45275798
XTE J1817-330,18:17:43.53,-33:01:07.57,359.8172195,-07.99544288
XTE J1726-476,17:26:49.28,-47:38:24.90,342.2032857,-06.92293655
XTE J1818-245,18:18:24.43,-24:32:17.96,7.4426994,-04.19145967
Swift J1753.5-0127,17:53:28.29,-01:27:06.22,24.8976155,12.18607327
