Identifier,Author,Topic,Time-Domain,Spectroscopy,Widefield,Star Formation
WP08,Paladini,wide_area,False,False,True,False
WP08,Paladini2,time_domain,True,False,False,False
WP09,Zari,SFR,False,False,False,True
WP07,Kruszynska,wide_area,False,False,True,False
WP05,Benecchi,solar_system,True,False,False,False
WP03,Kupfer,high_cadence,True,False,False,False
SP01,Elowitz,solar_system,False,False,False,False
SP02,Amrar,variable_stars,False,False,False,False
SP03,Lodieu,brown_dwarfs,False,False,False,False
SP02,Lodieu2,globular_clusters,False,False,False,False
SP04,Soam,molecular_clouds,False,False,False,False
SP05,Hunt,wide_area,False,False,True,False
SP06,Werner,SFR,False,False,False,True
SP07,Bryant,open_clusters,False,False,False,False
SP09,Lian,SFR,True,False,False,True
SP10,Anderson,molecular_clouds,False,True,False,False
SP11,Lim1,SFR,False,True,False,True
SP12,DAmmando,AGN,True,False,False,False
SP13,Freeman,wide_area,True,False,True,False
SP14,Bachelet,wide_area,False,False,True,False
SP15,Villasenor,molecular_clouds,False,False,False,False
SP16,Minniti,open_clusters,False,False,False,False
SP17,Smith,wide_area,False,False,True,False
SP18,Navarro,wide_area,True,False,True,False
SP19,De_Furio,SFR,False,False,False,True
SP20,Baravalle,AGN,False,False,False,False
SP21,Meli,wide_area,False,False,True,False
SP08,Morihana2,variable_stars,True,False,False,False
SP22,Morihana1,variable_stars,True,False,False,False
SP23,Wang,galactic_center,False,False,False,False
SP24,Lucas,wide_area,False,False,True,False
SP25,Lim2,SFR,False,False,False,True
SP26,Daylan,high_cadence,True,False,False,False
SP27,Bahramian,wide_area,True,False,True,False
SP28,Carey1,wide_area,False,False,True,False
SP29,Kuzuhara,wide_area,False,False,True,False
SP30,Carey2,solar_system,False,False,False,False
"SP31, WP04",Rich,wide_area,False,False,True,False
"SP31, WP04",Rich2,galactic_center,True,True,False,False
SP39,Ivanov,wide_area,False,False,True,False
SP35,VVV_keyholes_1st_priority,keyholes,False,False,False,False
SP35,VVV_keyholes_2nd_priority,keyholes,False,False,False,False
SP11,Lim3_grism_targets,SFR,False,True,False,True
SP33,Sankrit,wide_area,False,False,True,False
SP36,Gallart,wide_area,False,False,True,False
SP37,Pascucci,SFR,False,True,False,True
SP38,Ivanov1,stellar_spectra,False,True,False,False
SP39,Ivanov2,extinction,False,False,False,False
SP40,Craig1,wide_area,False,False,True,False
SP41,Craig2,novae,False,False,False,False
SP42,Kuhn,SFR,False,False,False,True
SP43,Saydjari,ISM,False,False,False,False
SP44,Hillenbrand,stellar_spectra,False,True,False,False
SP45,Gramze,SFR,False,False,False,True
SP47,Sabin,wide_area,False,False,True,False
SP48,Bonito,YSO,True,False,False,False
SP49,Minniti_GCs,wide_area,False,False,True,False
SP50,Pal,stellar_spectra,False,True,False,False
SP51,Saito,wide_area,False,False,True,False
SP40,Craig,wide_area,False,False,True,False
NONE,Pardo,GW,True,False,False,False
