Region,Cluster,Dist_kpc,Size_pc,Pointing_Longitude,Pointing_Latitude,Priority
Flame,9,0.33,3.0,206.5,-16.3,1
Orion,9,0.45,100.0,209.0,-19.4,1
W40,13,0.49,6.6,28.8,3.5,1
RCW 36,14,1.09,10.4,265.1,1.45,1
M8 (Lagoon),12,1.17,8.8,6.0,-1.2,1
Cygnus X,0,1.4,200.0,81.22,-0.1,1
Cygnus X,0,1.4,200.0,81.5,0.6,1
Cygnus X,0,1.4,200.0,78.2,-0.1,1
Cygnus X,0,1.4,200.0,80.6,0.45,1
Cygnus X,0,1.4,200.0,78.5,1.25,1
Trifid,12,1.57,15.4,7.1,-0.3,1
Rosette,1,1.6,96.0,206.3,-1.7,1
Rosette,1,1.6,96.0,206.3,-2.5,1
Rosette,1,1.6,96.0,207.05,-1.88,1
Rosette,1,1.6,96.0,206.3,-2.1,1
RCW 38,14,1.7,21.0,268.0,-1.05,1
NGC 6334,3,1.7,99.0,351.2,0.7,1
NGC 6357,3,1.7,99.0,353.1,0.86,1
M17,2,1.7,120.0,15.1,-0.7,1
M16 (Eagle Nebula),2,1.7,120.0,17.0,0.8,1
Berkeley 87,15,1.74,8.6,75.8,0.32,1
G345,5,2.0,116.0,345.4,1.4,1
Vulpecula,4,2.0,140.0,59.7,0.15,1
G345,5,2.0,116.0,345.3,1.0,1
Vulpecula,4,2.0,140.0,59.4,-0.2,1
W3,16,2.18,17.0,133.9,1.15,1
W42,17,2.2,6.6,25.4,-0.2,1
W4,16,2.24,72.6,134.7,0.9,1
Carina,6,2.3,110.0,287.4,-0.5,1
Carina,6,2.3,110.0,287.5,-0.9,1
Carina,6,2.3,110.0,287.6,-1.3,1
W33,2,2.4,16.8,12.8,-0.2,1
G333.6-0.2,10,2.6,20.0,333.5,-0.2,1
G333.1-0.4,10,2.6,20.0,333.0,-0.55,1
NGC 3576,6,2.77,20.8,291.3,-0.8,1
NGC 7538,7,2.8,65.0,111.5,0.8,1
W48,8,3.0,170.0,35.3,-1.8,1
G305,11,3.59,85.2,305.3,0.1,2
RCW49,6,4.4,50.2,284.3,-0.3,2
W51 A,18,5.1,94.4,49.25,-0.35,2
W43,13,5.5,24.0,30.8,0.0,2
G29.96-0.02,13,6.2,35.0,30.0,0.0,2
NGC 3603,6,7.0,50.4,291.6,-0.5,2
W49 A,19,11.4,44.4,43.2,0.0,2
