Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F087 Bahramian SP27 0.0 0.0
deep_spec F087 Bahramian SP27 0.19100614973557242 0.30007892249117546
time_domain F087 Bahramian SP27 0.40078168990758833 0.6296453691577842
wide_area F129 Bahramian SP27 15.962814525300034 22.983790534504738
deep_spec F129 Bahramian SP27 0.20646329480087885 0.3148226845788921
time_domain F129 Bahramian SP27 0.6447837655813543 0.9236533307893117
wide_area F158 Bahramian SP27 15.962814525300034 22.983790534504738
deep_spec F158 Bahramian SP27 0.20646329480087885 0.3148226845788921
time_domain F158 Bahramian SP27 0.24400207567376592 0.29400796163152737
wide_area F184 Bahramian SP27 12.528016075430868 19.592725254329896
deep_spec F184 Bahramian SP27 0.19100614973557242 0.30007892249117546
time_domain F184 Bahramian SP27 0.3290163735329513 0.4275691005437846
wide_area F213 Bahramian SP27 15.962814525300034 22.983790534504738
deep_spec F213 Bahramian SP27 0.20646329480087885 0.3148226845788921
time_domain F213 Bahramian SP27 0.6447837655813543 0.9236533307893117
wide_area F146 Bahramian SP27 0.0 0.0
deep_spec F146 Bahramian SP27 0.0 0.0
time_domain F146 Bahramian SP27 0.0 0.0
