Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F087 Carey1 SP28 0.0 0.0
deep_spec F087 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F087 Carey1 SP28 3.49485685958607 5.042705042705043
wide_area F106 Carey1 SP28 0.0 0.0
deep_spec F106 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F106 Carey1 SP28 3.49485685958607 5.042705042705043
wide_area F129 Carey1 SP28 88.48680133845582 89.13068913068913
deep_spec F129 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F129 Carey1 SP28 3.49485685958607 5.042705042705043
wide_area F158 Carey1 SP28 88.48680133845582 89.13068913068913
deep_spec F158 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F158 Carey1 SP28 0.0 0.0
wide_area F184 Carey1 SP28 73.9248977568472 75.38317538317538
deep_spec F184 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F184 Carey1 SP28 0.9542694261990333 0.9009009009009009
wide_area F213 Carey1 SP28 88.48680133845582 89.13068913068913
deep_spec F213 Carey1 SP28 1.9333250712603791 1.9305019305019304
time_domain F213 Carey1 SP28 3.49485685958607 5.042705042705043
