Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F087 Carey2 0.0 0.0
panchromatic F087 Carey2 0.43668122270742354 0.43668122270742354
time_domain F087 Carey2 6.744298884036875 6.744298884036875
wide_area F106 Carey2 0.0 0.0
panchromatic F106 Carey2 0.43668122270742354 0.43668122270742354
time_domain F106 Carey2 6.744298884036875 6.744298884036875
wide_area F158 Carey2 100.0 100.0
panchromatic F158 Carey2 0.43668122270742354 0.43668122270742354
time_domain F158 Carey2 6.744298884036875 6.744298884036875
wide_area F213 Carey2 100.0 100.0
panchromatic F213 Carey2 0.43668122270742354 0.43668122270742354
time_domain F213 Carey2 6.744298884036875 6.744298884036875
