Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F087 De 0.0 0.0
panchromatic F087 De 1.5524936929943722 1.5524936929943722
time_domain F087 De 2.804191732971085 2.804191732971085
wide_area F158 De 94.75063070056278 94.75063070056278
panchromatic F158 De 1.5524936929943722 1.5524936929943722
time_domain F158 De 3.1729089850572483 3.1729089850572483
wide_area F213 De 94.75063070056278 94.75063070056278
panchromatic F213 De 1.5524936929943722 1.5524936929943722
time_domain F213 De 3.1729089850572483 3.1729089850572483
wide_area F146 De 0.0 0.0
panchromatic F146 De 0.0 0.0
time_domain F146 De 0.0 0.0
