Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F106 Hunt SP05 0.5961011760915096 0.5961011760915096
deep_spec F106 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F106 Hunt SP05 2.96439503786048 2.96439503786048
wide_area F129 Hunt SP05 79.33784436926051 79.33784436926051
deep_spec F129 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F129 Hunt SP05 2.96439503786048 2.96439503786048
wide_area F158 Hunt SP05 79.33784436926051 79.33784436926051
deep_spec F158 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F158 Hunt SP05 0.5961011760915096 0.5961011760915096
wide_area F213 Hunt SP05 79.33784436926051 79.33784436926051
deep_spec F213 Hunt SP05 1.288867407765426 1.288867407765426
time_domain F213 Hunt SP05 2.96439503786048 2.96439503786048
