Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F106 Navarro SP18 0.0 0.0
deep_spec F106 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F106 Navarro SP18 21.716101694915256 21.716101694915256
wide_area F129 Navarro SP18 100.0 100.0
deep_spec F129 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F129 Navarro SP18 21.716101694915256 21.716101694915256
wide_area F158 Navarro SP18 100.0 100.0
deep_spec F158 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F158 Navarro SP18 0.0 0.0
wide_area F213 Navarro SP18 100.0 100.0
deep_spec F213 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F213 Navarro SP18 21.716101694915256 21.716101694915256
