Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F106 Zari 0.3780718336483932 0.3780718336483932
panchromatic F106 Zari 12.854442344045369 12.854442344045369
time_domain F106 Zari 3.30812854442344 3.30812854442344
wide_area F158 Zari 71.73913043478261 71.73913043478261
panchromatic F158 Zari 12.854442344045369 12.854442344045369
time_domain F158 Zari 0.0 0.0
wide_area F213 Zari 71.73913043478261 71.73913043478261
panchromatic F213 Zari 12.854442344045369 12.854442344045369
time_domain F213 Zari 2.9300567107750473 2.9300567107750473
wide_area F213 Werner 48.89287851585877 48.89287851585877
panchromatic F213 Werner 8.378216636744465 8.378216636744465
time_domain F213 Werner 2.333931777378815 2.333931777378815
wide_area F129 Lim1 0.0 0.0
panchromatic F129 Lim1 0.0 0.0
time_domain F129 Lim1 0.0 0.0
wide_area F158 Lim1 0.0 0.0
panchromatic F158 Lim1 0.0 0.0
time_domain F158 Lim1 0.0 0.0
wide_area F213 Lim1 0.0 0.0
panchromatic F213 Lim1 0.0 0.0
time_domain F213 Lim1 0.0 0.0
wide_area G150 Lim1 0.0 0.0
panchromatic G150 Lim1 0.0 0.0
time_domain G150 Lim1 0.0 0.0
wide_area F129 De_Furio 6.327657616198803 6.822867853795689
panchromatic F129 De_Furio 1.2195121951219512 1.3870665417057169
time_domain F129 De_Furio 0.13805798435342845 0.22492970946579194
wide_area F184 De_Furio 5.706396686608375 6.091846298031865
panchromatic F184 De_Furio 1.0124252185918086 1.218369259606373
time_domain F184 De_Furio 0.0 0.0
wide_area F213 De_Furio 6.327657616198803 6.822867853795689
panchromatic F213 De_Furio 1.2195121951219512 1.3870665417057169
time_domain F213 De_Furio 0.6442705936493327 0.6373008434864105
wide_area F129 Lim2 6.997084548104956 5.574912891986063
panchromatic F129 Lim2 1.8950437317784257 1.5098722415795587
time_domain F129 Lim2 1.3119533527696794 1.0452961672473868
wide_area F158 Lim2 6.997084548104956 5.574912891986063
panchromatic F158 Lim2 1.8950437317784257 1.5098722415795587
time_domain F158 Lim2 0.0 0.0
wide_area F213 Lim2 6.997084548104956 5.574912891986063
panchromatic F213 Lim2 1.8950437317784257 1.5098722415795587
time_domain F213 Lim2 1.8950437317784257 1.5098722415795587
wide_area G150 Lim3_grism_targets 0.0 0.0
panchromatic G150 Lim3_grism_targets 0.0 0.0
time_domain G150 Lim3_grism_targets 0.0 0.0
wide_area G150 Pascucci 0.0 0.0
panchromatic G150 Pascucci 0.0 0.0
time_domain G150 Pascucci 0.0 0.0
wide_area F158 Kuhn 15.492957746478872 15.492957746478872
panchromatic F158 Kuhn 4.225352112676056 4.225352112676056
time_domain F158 Kuhn 0.0 0.0
wide_area F184 Kuhn 15.492957746478872 15.492957746478872
panchromatic F184 Kuhn 4.225352112676056 4.225352112676056
time_domain F184 Kuhn 0.0 0.0
wide_area F213 Kuhn 15.492957746478872 15.492957746478872
panchromatic F213 Kuhn 4.225352112676056 4.225352112676056
time_domain F213 Kuhn 9.859154929577464 9.859154929577464
wide_area F184 Gramze 100.0 100.0
panchromatic F184 Gramze 36.61971830985916 36.61971830985916
time_domain F184 Gramze 0.0 0.0
