Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area F062 Sankrit SP33 0.0 0.0
deep_spec F062 Sankrit SP33 1.0617824673170084 1.0617824673170084
time_domain F062 Sankrit SP33 1.9510252836950028 1.9510252836950028
wide_area F129 Sankrit SP33 68.65087265246532 68.65087265246532
deep_spec F129 Sankrit SP33 1.0816908885792023 1.0816908885792023
time_domain F129 Sankrit SP33 2.7340898533412967 2.7340898533412967
wide_area F184 Sankrit SP33 63.32205189461809 63.32205189461809
deep_spec F184 Sankrit SP33 1.0617824673170084 1.0617824673170084
time_domain F184 Sankrit SP33 1.2940473820426042 1.2940473820426042
wide_area F213 Sankrit SP33 68.65087265246532 68.65087265246532
deep_spec F213 Sankrit SP33 1.0816908885792023 1.0816908885792023
time_domain F213 Sankrit SP33 2.7340898533412967 2.7340898533412967
