Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F129 Schlafly 84.43184702597513 84.43184702597513
panchromatic F129 Schlafly 1.2522210000846095 1.2522210000846095
time_domain F129 Schlafly 3.0544039258820543 3.0544039258820543
wide_area F158 Schlafly 84.43184702597513 84.43184702597513
panchromatic F158 Schlafly 1.2522210000846095 1.2522210000846095
time_domain F158 Schlafly 3.0544039258820543 3.0544039258820543
wide_area F184 Schlafly 81.45359167442254 81.45359167442254
panchromatic F184 Schlafly 1.2522210000846095 1.2522210000846095
time_domain F184 Schlafly 2.4452153312462985 2.4452153312462985
wide_area F213 Schlafly 84.43184702597513 84.43184702597513
panchromatic F213 Schlafly 1.2522210000846095 1.2522210000846095
time_domain F213 Schlafly 3.0544039258820543 3.0544039258820543
