Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F062 Bonito 0.0 0.0
panchromatic F062 Bonito 3.79746835443038 3.79746835443038
time_domain F062 Bonito 11.39240506329114 11.39240506329114
wide_area F129 Bonito 77.21518987341773 77.21518987341773
panchromatic F129 Bonito 3.79746835443038 3.79746835443038
time_domain F129 Bonito 11.39240506329114 11.39240506329114
wide_area F158 Bonito 77.21518987341773 77.21518987341773
panchromatic F158 Bonito 3.79746835443038 3.79746835443038
time_domain F158 Bonito 11.39240506329114 11.39240506329114
wide_area F146 Bonito 0.0 0.0
panchromatic F146 Bonito 0.0 0.0
time_domain F146 Bonito 0.0 0.0
