Survey_strategy Optic Science_case Science_code M1_%pix M1_%priority
wide_area G150 Ivanov1 SP38 0.0 0.0
deep_spec G150 Ivanov1 SP38 6.722689075630252 6.722689075630252
time_domain G150 Ivanov1 SP38 0.0 0.0
wide_area F106 Minniti SP16 0.0 0.0
deep_spec F106 Minniti SP16 0.7183908045977011 0.7183908045977011
time_domain F106 Minniti SP16 0.9626436781609196 0.9626436781609196
wide_area F158 Minniti SP16 43.96551724137931 43.96551724137931
deep_spec F158 Minniti SP16 0.7183908045977011 0.7183908045977011
time_domain F158 Minniti SP16 0.9626436781609196 0.9626436781609196
wide_area F213 Minniti SP16 43.96551724137931 43.96551724137931
deep_spec F213 Minniti SP16 0.7183908045977011 0.7183908045977011
time_domain F213 Minniti SP16 0.9626436781609196 0.9626436781609196
wide_area F184 Rich "SP31, WP04" 81.53056861906798 86.6625501698055
deep_spec F184 Rich "SP31, WP04" 2.4369388627618638 2.9124215292785838
time_domain F184 Rich "SP31, WP04" 4.688613367535984 7.512606771637337
wide_area F213 Rich "SP31, WP04" 81.60182414137095 86.71400638057013
deep_spec F213 Rich "SP31, WP04" 2.4369388627618638 2.9124215292785838
time_domain F213 Rich "SP31, WP04" 4.688613367535984 7.512606771637337
wide_area F129 De_Furio SP19 5.8397925612000225 6.2246477520536025
deep_spec F129 De_Furio SP19 0.11152623654714772 0.12767928770776132
time_domain F129 De_Furio SP19 0.3959181397423744 0.3762584319175621
wide_area F184 De_Furio SP19 5.328165951039982 5.654045625572015
deep_spec F184 De_Furio SP19 0.09200914515139687 0.11186061489441036
time_domain F184 De_Furio SP19 0.08782691128087883 0.12654938250680767
wide_area F213 De_Furio SP19 5.8397925612000225 6.2246477520536025
deep_spec F213 De_Furio SP19 0.11152623654714772 0.12767928770776132
time_domain F213 De_Furio SP19 0.3959181397423744 0.3762584319175621
wide_area F184 DAmmando SP12 4.904966278356836 4.945277665180381
deep_spec F184 DAmmando SP12 0.06131207847946045 0.06080259424402108
time_domain F184 DAmmando SP12 0.14306151645207438 0.14187271990271585
wide_area F106 Meli SP21 0.6158733697469624 0.615290383651651
deep_spec F106 Meli SP21 0.48210901794671723 0.5039256083300853
time_domain F106 Meli SP21 1.6079589789321145 1.6676875104404476
wide_area F158 Meli SP21 39.55523353026418 39.61245058188096
deep_spec F158 Meli SP21 0.5211236205551221 0.5429032796926333
time_domain F158 Meli SP21 1.6079589789321145 1.6676875104404476
wide_area F184 Meli SP21 33.09831679857318 33.16164597137926
deep_spec F184 Meli SP21 0.48210901794671723 0.5039256083300853
time_domain F184 Meli SP21 0.9920856091851522 1.0523971267887966
wide_area F184 Gramze SP45 100.0 100.0
deep_spec F184 Gramze SP45 3.389830508474576 3.389830508474576
time_domain F184 Gramze SP45 21.398305084745765 21.398305084745765
wide_area F184 Lian SP09 72.44701348747591 72.44701348747591
deep_spec F184 Lian SP09 1.2524084778420037 1.2524084778420037
time_domain F184 Lian SP09 6.454720616570328 6.454720616570328
wide_area F129 Smith SP17 100.0 100.0
deep_spec F129 Smith SP17 0.8487654320987654 0.8487654320987654
time_domain F129 Smith SP17 10.725308641975309 10.725308641975309
wide_area F158 Smith SP17 100.0 100.0
deep_spec F158 Smith SP17 0.8487654320987654 0.8487654320987654
time_domain F158 Smith SP17 10.725308641975309 10.725308641975309
wide_area F213 Smith SP17 100.0 100.0
deep_spec F213 Smith SP17 0.8487654320987654 0.8487654320987654
time_domain F213 Smith SP17 10.725308641975309 10.725308641975309
wide_area F213 Paladini2 WP08 41.17647058823529 41.17647058823529
deep_spec F213 Paladini2 WP08 2.1671826625387 2.1671826625387
time_domain F213 Paladini2 WP08 34.21052631578947 34.21052631578947
wide_area F062 Sabin SP47 0.0 0.0
deep_spec F062 Sabin SP47 0.5507555677945682 0.5916802511622291
time_domain F062 Sabin SP47 0.9948022443289387 1.515425949405301
wide_area F129 Sabin SP47 46.081029912911774 52.7018052285214
deep_spec F129 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F129 Sabin SP47 1.755533372345186 2.1825756203586306
wide_area F158 Sabin SP47 46.081029912911774 52.7018052285214
deep_spec F158 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F158 Sabin SP47 1.755533372345186 2.1825756203586306
wide_area F213 Sabin SP47 46.081029912911774 52.7018052285214
deep_spec F213 Sabin SP47 0.5989466799765929 0.6339431262452454
time_domain F213 Sabin SP47 1.755533372345186 2.1825756203586306
wide_area F062 Kupfer WP03 0.0 0.0
deep_spec F062 Kupfer WP03 15.853658536585366 15.853658536585366
time_domain F062 Kupfer WP03 0.0 0.0
wide_area F087 Kupfer WP03 0.0 0.0
deep_spec F087 Kupfer WP03 15.853658536585366 15.853658536585366
time_domain F087 Kupfer WP03 0.0 0.0
wide_area F106 Navarro SP18 0.0 0.0
deep_spec F106 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F106 Navarro SP18 21.398305084745765 21.398305084745765
wide_area F129 Navarro SP18 100.0 100.0
deep_spec F129 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F129 Navarro SP18 21.398305084745765 21.398305084745765
wide_area F158 Navarro SP18 100.0 100.0
deep_spec F158 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F158 Navarro SP18 21.398305084745765 21.398305084745765
wide_area F213 Navarro SP18 100.0 100.0
deep_spec F213 Navarro SP18 3.389830508474576 3.389830508474576
time_domain F213 Navarro SP18 21.398305084745765 21.398305084745765
wide_area F184 Rich2 "SP31, WP04" 100.0 100.0
deep_spec F184 Rich2 "SP31, WP04" 0.0 0.0
time_domain F184 Rich2 "SP31, WP04" 100.0 100.0
wide_area F213 Rich2 "SP31, WP04" 100.0 100.0
deep_spec F213 Rich2 "SP31, WP04" 0.0 0.0
time_domain F213 Rich2 "SP31, WP04" 100.0 100.0
wide_area G150 Rich2 "SP31, WP04" 0.0 0.0
deep_spec G150 Rich2 "SP31, WP04" 0.0 0.0
time_domain G150 Rich2 "SP31, WP04" 0.0 0.0
wide_area P127 Rich2 "SP31, WP04" 0.0 0.0
deep_spec P127 Rich2 "SP31, WP04" 0.0 0.0
time_domain P127 Rich2 "SP31, WP04" 0.0 0.0
wide_area F106 Saydjari SP43 0.0 0.0
deep_spec F106 Saydjari SP43 6.722689075630252 6.722689075630252
time_domain F106 Saydjari SP43 0.0 0.0
wide_area F129 Saydjari SP43 70.58823529411765 70.58823529411765
deep_spec F129 Saydjari SP43 6.722689075630252 6.722689075630252
time_domain F129 Saydjari SP43 0.0 0.0
wide_area F158 Saydjari SP43 70.58823529411765 70.58823529411765
deep_spec F158 Saydjari SP43 6.722689075630252 6.722689075630252
time_domain F158 Saydjari SP43 0.0 0.0
wide_area F184 Saydjari SP43 70.58823529411765 70.58823529411765
deep_spec F184 Saydjari SP43 6.722689075630252 6.722689075630252
time_domain F184 Saydjari SP43 0.0 0.0
wide_area F106 Ivanov2 SP39 0.0 0.0
deep_spec F106 Ivanov2 SP39 6.722689075630252 6.722689075630252
time_domain F106 Ivanov2 SP39 0.0 0.0
wide_area F129 Ivanov2 SP39 70.58823529411765 70.58823529411765
deep_spec F129 Ivanov2 SP39 6.722689075630252 6.722689075630252
time_domain F129 Ivanov2 SP39 0.0 0.0
wide_area F158 Ivanov2 SP39 70.58823529411765 70.58823529411765
deep_spec F158 Ivanov2 SP39 6.722689075630252 6.722689075630252
time_domain F158 Ivanov2 SP39 0.0 0.0
wide_area F213 Ivanov2 SP39 70.58823529411765 70.58823529411765
deep_spec F213 Ivanov2 SP39 6.722689075630252 6.722689075630252
time_domain F213 Ivanov2 SP39 0.0 0.0
