Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F184 Anderson 59.76470588235294 59.76470588235294
panchromatic F184 Anderson 10.745098039215687 10.745098039215687
time_domain F184 Anderson 0.6274509803921569 0.6274509803921569
wide_area G150 Anderson 0.0 0.0
panchromatic G150 Anderson 0.0 0.0
time_domain G150 Anderson 0.0 0.0
wide_area F062 Villasenor 0.0 0.0
panchromatic F062 Villasenor 9.219858156028367 7.072135785007072
time_domain F062 Villasenor 4.7281323877068555 4.667609618104668
wide_area F129 Villasenor 25.53191489361702 19.801980198019802
panchromatic F129 Villasenor 10.16548463356974 7.637906647807638
time_domain F129 Villasenor 4.7281323877068555 4.667609618104668
wide_area F213 Villasenor 25.53191489361702 19.801980198019802
panchromatic F213 Villasenor 10.16548463356974 7.637906647807638
time_domain F213 Villasenor 4.7281323877068555 4.526166902404526
