Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_1a F213 Paladini 57.49279538904899 60.07777057679844
Option_1b F213 Paladini 72.19020172910663 73.29876863253403
Option_2a F213 Paladini 58.933717579250725 61.37394685677252
Option_2b F213 Paladini 65.12968299711815 66.94750486066104
Option_3a F213 Paladini 51.512968299711815 54.69863901490603
Option_3b F213 Paladini 72.26224783861672 73.36357744653273
Option_4a F213 Paladini 61.23919308357348 63.44782890473104
Option_4b F213 Paladini 65.20172910662824 67.01231367465975
Option_5a F213 Paladini 59.14985590778098 61.568373298768634
Option_5b F213 Paladini 72.19020172910663 73.29876863253403
Option_6a F213 Paladini 65.27377521613833 67.07712248865846
Option_6b F213 Paladini 65.12968299711815 66.94750486066104
Option_7a F213 Paladini 39.69740634005764 41.02397926117952
Option_7b F213 Paladini 57.56484149855908 60.142579390797145
Option_8a F213 Paladini 49.42363112391931 52.819183408943616
Option_8b F213 Paladini 65.12968299711815 66.94750486066104
Option_1a F213 Paladini2 65.08515815085158 65.08515815085158
Option_1b F213 Paladini2 65.08515815085158 65.08515815085158
Option_2a F213 Paladini2 53.16301703163017 53.16301703163017
Option_2b F213 Paladini2 53.16301703163017 53.16301703163017
Option_3a F213 Paladini2 65.08515815085158 65.08515815085158
Option_3b F213 Paladini2 65.08515815085158 65.08515815085158
Option_4a F213 Paladini2 53.16301703163017 53.16301703163017
Option_4b F213 Paladini2 53.16301703163017 53.16301703163017
Option_5a F213 Paladini2 65.08515815085158 65.08515815085158
Option_5b F213 Paladini2 65.08515815085158 65.08515815085158
Option_6a F213 Paladini2 53.16301703163017 53.16301703163017
Option_6b F213 Paladini2 53.16301703163017 53.16301703163017
Option_7a F213 Paladini2 59.36739659367397 59.36739659367397
Option_7b F213 Paladini2 65.08515815085158 65.08515815085158
Option_8a F213 Paladini2 53.16301703163017 53.16301703163017
Option_8b F213 Paladini2 53.16301703163017 53.16301703163017
Option_1a F106 Zari 30.529300567107747 30.529300567107747
Option_1b F106 Zari 46.880907372400756 46.880907372400756
Option_2a F106 Zari 30.529300567107747 30.529300567107747
Option_2b F106 Zari 46.880907372400756 46.880907372400756
Option_3a F106 Zari 22.77882797731569 22.77882797731569
Option_3b F106 Zari 37.051039697542535 37.051039697542535
Option_4a F106 Zari 22.77882797731569 22.77882797731569
Option_4b F106 Zari 37.051039697542535 37.051039697542535
Option_5a F106 Zari 0.0 0.0
Option_5b F106 Zari 0.0 0.0
Option_6a F106 Zari 0.0 0.0
Option_6b F106 Zari 0.0 0.0
Option_7a F106 Zari 23.72400756143667 23.72400756143667
Option_7b F106 Zari 47.16446124763705 47.16446124763705
Option_8a F106 Zari 45.746691871455575 45.746691871455575
Option_8b F106 Zari 69.56521739130434 69.56521739130434
Option_1a F158 Zari 30.529300567107747 30.529300567107747
Option_1b F158 Zari 46.880907372400756 46.880907372400756
Option_2a F158 Zari 30.529300567107747 30.529300567107747
Option_2b F158 Zari 46.880907372400756 46.880907372400756
Option_3a F158 Zari 22.77882797731569 22.77882797731569
Option_3b F158 Zari 37.051039697542535 37.051039697542535
Option_4a F158 Zari 22.77882797731569 22.77882797731569
Option_4b F158 Zari 37.051039697542535 37.051039697542535
Option_5a F158 Zari 49.14933837429111 49.14933837429111
Option_5b F158 Zari 81.75803402646503 81.75803402646503
Option_6a F158 Zari 71.45557655954632 71.45557655954632
Option_6b F158 Zari 100.0 100.0
Option_7a F158 Zari 23.72400756143667 23.72400756143667
Option_7b F158 Zari 47.16446124763705 47.16446124763705
Option_8a F158 Zari 45.746691871455575 45.746691871455575
Option_8b F158 Zari 69.56521739130434 69.56521739130434
Option_1a F213 Zari 46.975425330812854 46.975425330812854
Option_1b F213 Zari 78.0718336483932 78.0718336483932
Option_2a F213 Zari 58.034026465028354 58.034026465028354
Option_2b F213 Zari 89.69754253308129 89.69754253308129
Option_3a F213 Zari 39.130434782608695 39.130434782608695
Option_3b F213 Zari 67.86389413988658 67.86389413988658
Option_4a F213 Zari 61.15311909262759 61.15311909262759
Option_4b F213 Zari 90.26465028355388 90.26465028355388
Option_5a F213 Zari 49.14933837429111 49.14933837429111
Option_5b F213 Zari 81.75803402646503 81.75803402646503
Option_6a F213 Zari 71.45557655954632 71.45557655954632
Option_6b F213 Zari 100.0 100.0
Option_7a F213 Zari 23.72400756143667 23.72400756143667
Option_7b F213 Zari 47.16446124763705 47.16446124763705
Option_8a F213 Zari 45.746691871455575 45.746691871455575
Option_8b F213 Zari 69.56521739130434 69.56521739130434
Option_1a F087 Kruszynska 0.0 0.0
Option_1b F087 Kruszynska 0.0 0.0
Option_2a F087 Kruszynska 0.0 0.0
Option_2b F087 Kruszynska 0.0 0.0
Option_3a F087 Kruszynska 32.29638009049774 32.29638009049774
Option_3b F087 Kruszynska 36.31221719457013 36.31221719457013
Option_4a F087 Kruszynska 23.699095022624434 23.699095022624434
Option_4b F087 Kruszynska 27.714932126696834 27.714932126696834
Option_5a F087 Kruszynska 0.0 0.0
Option_5b F087 Kruszynska 0.0 0.0
Option_6a F087 Kruszynska 0.0 0.0
Option_6b F087 Kruszynska 0.0 0.0
Option_7a F087 Kruszynska 0.0 0.0
Option_7b F087 Kruszynska 0.0 0.0
Option_8a F087 Kruszynska 0.0 0.0
Option_8b F087 Kruszynska 0.0 0.0
Option_1a F213 Kruszynska 40.61085972850679 40.61085972850679
Option_1b F213 Kruszynska 49.6606334841629 49.6606334841629
Option_2a F213 Kruszynska 35.237556561085974 35.237556561085974
Option_2b F213 Kruszynska 44.45701357466063 44.45701357466063
Option_3a F213 Kruszynska 38.23529411764706 38.23529411764706
Option_3b F213 Kruszynska 46.776018099547514 46.776018099547514
Option_4a F213 Kruszynska 35.97285067873303 35.97285067873303
Option_4b F213 Kruszynska 44.73981900452489 44.73981900452489
Option_5a F213 Kruszynska 41.289592760180994 41.289592760180994
Option_5b F213 Kruszynska 50.73529411764706 50.73529411764706
Option_6a F213 Kruszynska 39.19683257918552 39.19683257918552
Option_6b F213 Kruszynska 45.022624434389144 45.022624434389144
Option_7a F213 Kruszynska 34.16289592760181 34.16289592760181
Option_7b F213 Kruszynska 40.723981900452486 40.723981900452486
Option_8a F213 Kruszynska 31.561085972850677 31.561085972850677
Option_8b F213 Kruszynska 38.51809954751131 38.51809954751131
Option_1a F146 Benecchi 0.0 0.0
Option_1b F146 Benecchi 0.0 0.0
Option_2a F146 Benecchi 0.0 0.0
Option_2b F146 Benecchi 0.0 0.0
Option_3a F146 Benecchi 0.0 0.0
Option_3b F146 Benecchi 0.0 0.0
Option_4a F146 Benecchi 0.0 0.0
Option_4b F146 Benecchi 0.0 0.0
Option_5a F146 Benecchi 0.0 0.0
Option_5b F146 Benecchi 0.0 0.0
Option_6a F146 Benecchi 0.0 0.0
Option_6b F146 Benecchi 0.0 0.0
Option_7a F146 Benecchi 0.0 0.0
Option_7b F146 Benecchi 0.0 0.0
Option_8a F146 Benecchi 0.0 0.0
Option_8b F146 Benecchi 0.0 0.0
Option_1a F087 Lodieu2 0.0 0.0
Option_1b F087 Lodieu2 0.0 0.0
Option_2a F087 Lodieu2 0.0 0.0
Option_2b F087 Lodieu2 0.0 0.0
Option_3a F087 Lodieu2 0.0 0.0
Option_3b F087 Lodieu2 0.0 0.0
Option_4a F087 Lodieu2 0.0 0.0
Option_4b F087 Lodieu2 0.0 0.0
Option_5a F087 Lodieu2 0.0 0.0
Option_5b F087 Lodieu2 0.0 0.0
Option_6a F087 Lodieu2 0.0 0.0
Option_6b F087 Lodieu2 0.0 0.0
Option_7a F087 Lodieu2 0.0 0.0
Option_7b F087 Lodieu2 0.0 0.0
Option_8a F087 Lodieu2 0.0 0.0
Option_8b F087 Lodieu2 0.0 0.0
Option_1a F106 Lodieu2 0.0 0.0
Option_1b F106 Lodieu2 0.0 0.0
Option_2a F106 Lodieu2 0.0 0.0
Option_2b F106 Lodieu2 0.0 0.0
Option_3a F106 Lodieu2 0.0 0.0
Option_3b F106 Lodieu2 0.0 0.0
Option_4a F106 Lodieu2 0.0 0.0
Option_4b F106 Lodieu2 0.0 0.0
Option_5a F106 Lodieu2 0.0 0.0
Option_5b F106 Lodieu2 0.0 0.0
Option_6a F106 Lodieu2 0.0 0.0
Option_6b F106 Lodieu2 0.0 0.0
Option_7a F106 Lodieu2 0.0 0.0
Option_7b F106 Lodieu2 0.0 0.0
Option_8a F106 Lodieu2 0.0 0.0
Option_8b F106 Lodieu2 0.0 0.0
Option_1a F129 Lodieu2 0.0 0.0
Option_1b F129 Lodieu2 0.0 0.0
Option_2a F129 Lodieu2 0.0 0.0
Option_2b F129 Lodieu2 0.0 0.0
Option_3a F129 Lodieu2 0.0 0.0
Option_3b F129 Lodieu2 0.0 0.0
Option_4a F129 Lodieu2 0.0 0.0
Option_4b F129 Lodieu2 0.0 0.0
Option_5a F129 Lodieu2 0.0 0.0
Option_5b F129 Lodieu2 0.0 0.0
Option_6a F129 Lodieu2 0.0 0.0
Option_6b F129 Lodieu2 0.0 0.0
Option_7a F129 Lodieu2 0.0 0.0
Option_7b F129 Lodieu2 0.0 0.0
Option_8a F129 Lodieu2 0.0 0.0
Option_8b F129 Lodieu2 0.0 0.0
Option_1a F158 Lodieu2 0.0 0.0
Option_1b F158 Lodieu2 0.0 0.0
Option_2a F158 Lodieu2 0.0 0.0
Option_2b F158 Lodieu2 0.0 0.0
Option_3a F158 Lodieu2 0.0 0.0
Option_3b F158 Lodieu2 0.0 0.0
Option_4a F158 Lodieu2 0.0 0.0
Option_4b F158 Lodieu2 0.0 0.0
Option_5a F158 Lodieu2 0.0 0.0
Option_5b F158 Lodieu2 0.0 0.0
Option_6a F158 Lodieu2 0.0 0.0
Option_6b F158 Lodieu2 0.0 0.0
Option_7a F158 Lodieu2 0.0 0.0
Option_7b F158 Lodieu2 0.0 0.0
Option_8a F158 Lodieu2 0.0 0.0
Option_8b F158 Lodieu2 0.0 0.0
Option_1a F184 Lodieu2 0.0 0.0
Option_1b F184 Lodieu2 0.0 0.0
Option_2a F184 Lodieu2 0.0 0.0
Option_2b F184 Lodieu2 0.0 0.0
Option_3a F184 Lodieu2 0.0 0.0
Option_3b F184 Lodieu2 0.0 0.0
Option_4a F184 Lodieu2 0.0 0.0
Option_4b F184 Lodieu2 0.0 0.0
Option_5a F184 Lodieu2 0.0 0.0
Option_5b F184 Lodieu2 0.0 0.0
Option_6a F184 Lodieu2 0.0 0.0
Option_6b F184 Lodieu2 0.0 0.0
Option_7a F184 Lodieu2 0.0 0.0
Option_7b F184 Lodieu2 0.0 0.0
Option_8a F184 Lodieu2 0.0 0.0
Option_8b F184 Lodieu2 0.0 0.0
Option_1a F213 Lodieu2 0.0 0.0
Option_1b F213 Lodieu2 0.0 0.0
Option_2a F213 Lodieu2 0.0 0.0
Option_2b F213 Lodieu2 0.0 0.0
Option_3a F213 Lodieu2 0.0 0.0
Option_3b F213 Lodieu2 0.0 0.0
Option_4a F213 Lodieu2 0.0 0.0
Option_4b F213 Lodieu2 0.0 0.0
Option_5a F213 Lodieu2 0.0 0.0
Option_5b F213 Lodieu2 0.0 0.0
Option_6a F213 Lodieu2 0.0 0.0
Option_6b F213 Lodieu2 0.0 0.0
Option_7a F213 Lodieu2 0.0 0.0
Option_7b F213 Lodieu2 0.0 0.0
Option_8a F213 Lodieu2 0.0 0.0
