Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F213 Paladini 62.60806916426513 64.93843162670123
panchromatic F213 Paladini 9.72622478386167 9.915748541801685
time_domain F213 Paladini 3.314121037463977 3.4996759559300066
wide_area F087 Kruszynska 0.0 0.0
panchromatic F087 Kruszynska 5.995475113122172 5.995475113122172
time_domain F087 Kruszynska 2.1493212669683257 2.1493212669683257
wide_area F213 Kruszynska 44.57013574660634 44.57013574660634
panchromatic F213 Kruszynska 6.108597285067873 6.108597285067873
time_domain F213 Kruszynska 2.5452488687782804 2.5452488687782804
wide_area F106 Hunt 0.8177570093457943 0.8177570093457943
panchromatic F106 Hunt 14.719626168224298 14.719626168224298
time_domain F106 Hunt 3.0373831775700935 3.0373831775700935
wide_area F129 Hunt 79.43925233644859 79.43925233644859
panchromatic F129 Hunt 14.836448598130842 14.836448598130842
time_domain F129 Hunt 3.0373831775700935 3.0373831775700935
wide_area F158 Hunt 79.32242990654206 79.32242990654206
panchromatic F158 Hunt 14.836448598130842 14.836448598130842
time_domain F158 Hunt 0.0 0.0
wide_area F213 Hunt 79.43925233644859 79.43925233644859
panchromatic F213 Hunt 14.836448598130842 14.836448598130842
time_domain F213 Hunt 2.9205607476635516 2.9205607476635516
wide_area F158 Freeman 25.0 25.0
panchromatic F158 Freeman 0.0 0.0
time_domain F158 Freeman 0.0 0.0
wide_area F213 Freeman 25.0 25.0
panchromatic F213 Freeman 0.0 0.0
time_domain F213 Freeman 7.291666666666667 7.291666666666667
wide_area F087 Bachelet 0.0 0.0
panchromatic F087 Bachelet 8.642808912896692 8.642808912896692
time_domain F087 Bachelet 2.2957461174881835 2.2957461174881835
wide_area F158 Bachelet 59.419311276164755 59.419311276164755
panchromatic F158 Bachelet 9.047940580688724 9.047940580688724
time_domain F158 Bachelet 0.0 0.0
wide_area F213 Bachelet 59.68939905469277 59.68939905469277
panchromatic F213 Bachelet 9.047940580688724 9.047940580688724
time_domain F213 Bachelet 2.9034436191762323 2.9034436191762323
wide_area F129 Smith 100.0 100.0
panchromatic F129 Smith 12.222222222222221 12.222222222222221
time_domain F129 Smith 12.222222222222221 12.222222222222221
wide_area F158 Smith 100.0 100.0
panchromatic F158 Smith 12.222222222222221 12.222222222222221
time_domain F158 Smith 0.0 0.0
wide_area F213 Smith 100.0 100.0
panchromatic F213 Smith 12.222222222222221 12.222222222222221
time_domain F213 Smith 12.222222222222221 12.222222222222221
wide_area F106 Navarro 0.0 0.0
panchromatic F106 Navarro 36.61971830985916 36.61971830985916
time_domain F106 Navarro 21.12676056338028 21.12676056338028
wide_area F129 Navarro 100.0 100.0
panchromatic F129 Navarro 36.61971830985916 36.61971830985916
time_domain F129 Navarro 21.12676056338028 21.12676056338028
wide_area F158 Navarro 100.0 100.0
panchromatic F158 Navarro 36.61971830985916 36.61971830985916
time_domain F158 Navarro 0.0 0.0
wide_area F213 Navarro 100.0 100.0
panchromatic F213 Navarro 36.61971830985916 36.61971830985916
time_domain F213 Navarro 21.12676056338028 21.12676056338028
wide_area F106 Meli 0.9263157894736843 0.9216589861751152
panchromatic F106 Meli 5.768421052631579 5.990783410138248
time_domain F106 Meli 1.8105263157894735 2.094679514034353
wide_area F158 Meli 39.242105263157896 39.547549224968584
panchromatic F158 Meli 6.147368421052631 6.367825722664433
time_domain F158 Meli 0.0 0.0
wide_area F184 Meli 32.71578947368421 33.05404273146208
panchromatic F184 Meli 5.768421052631579 5.990783410138248
time_domain F184 Meli 0.3368421052631579 0.3351487222454964
wide_area F129 Lucas 53.80952380952381 53.80952380952381
panchromatic F129 Lucas 15.0 15.0
time_domain F129 Lucas 3.8095238095238098 3.8095238095238098
wide_area F158 Lucas 53.80952380952381 53.80952380952381
panchromatic F158 Lucas 15.0 15.0
time_domain F158 Lucas 0.0 0.0
wide_area F213 Lucas 53.80952380952381 53.80952380952381
panchromatic F213 Lucas 15.0 15.0
time_domain F213 Lucas 2.857142857142857 2.857142857142857
wide_area F087 Bahramian 0.0 0.0
panchromatic F087 Bahramian 2.371883656509695 3.6957108173725386
time_domain F087 Bahramian 0.7444598337950139 1.0790396547073104
wide_area F129 Bahramian 17.01869806094183 24.278392230914488
panchromatic F129 Bahramian 2.527700831024931 3.857566765578635
time_domain F129 Bahramian 0.7444598337950139 1.0790396547073104
wide_area F158 Bahramian 16.9494459833795 24.21095225249528
panchromatic F158 Bahramian 2.527700831024931 3.857566765578635
time_domain F158 Bahramian 0.0 0.0
wide_area F184 Bahramian 13.452216066481995 20.79848934448341
panchromatic F184 Bahramian 2.371883656509695 3.6957108173725386
time_domain F184 Bahramian 0.13850415512465375 0.21580793094146208
wide_area F213 Bahramian 17.01869806094183 24.278392230914488
panchromatic F213 Bahramian 2.527700831024931 3.857566765578635
time_domain F213 Bahramian 0.9868421052631579 1.2948475856487724
wide_area F146 Bahramian 0.0 0.0
panchromatic F146 Bahramian 0.0 0.0
time_domain F146 Bahramian 0.0 0.0
wide_area F087 Carey1 0.0 0.0
panchromatic F087 Carey1 20.30716723549488 20.51282051282051
time_domain F087 Carey1 5.290102389078498 6.41025641025641
wide_area F106 Carey1 0.0 0.0
panchromatic F106 Carey1 20.30716723549488 20.51282051282051
time_domain F106 Carey1 5.290102389078498 6.41025641025641
wide_area F129 Carey1 88.90784982935153 89.58333333333334
panchromatic F129 Carey1 20.30716723549488 20.51282051282051
time_domain F129 Carey1 5.290102389078498 6.41025641025641
wide_area F158 Carey1 88.90784982935153 89.58333333333334
panchromatic F158 Carey1 20.30716723549488 20.51282051282051
time_domain F158 Carey1 0.0 0.0
wide_area F184 Carey1 75.76791808873719 77.24358974358975
panchromatic F184 Carey1 20.30716723549488 20.51282051282051
time_domain F184 Carey1 1.3651877133105803 1.282051282051282
wide_area F213 Carey1 88.90784982935153 89.58333333333334
panchromatic F213 Carey1 20.30716723549488 20.51282051282051
time_domain F213 Carey1 3.9249146757679183 5.128205128205128
wide_area F184 Rich 78.89733840304183 84.95934959349594
panchromatic F184 Rich 22.0532319391635 26.693766937669377
time_domain F184 Rich 1.520912547528517 1.4905149051490514
wide_area F213 Rich 78.89733840304183 84.95934959349594
panchromatic F213 Rich 22.0532319391635 26.693766937669377
time_domain F213 Rich 4.562737642585551 7.181571815718158
wide_area F158 Ivanov 55.31752104055088 66.70467502850627
panchromatic F158 Ivanov 9.563886763580719 12.48574686431015
time_domain F158 Ivanov 0.0 0.0
wide_area F213 Ivanov 55.54705432287682 66.87571265678449
panchromatic F213 Ivanov 9.563886763580719 12.48574686431015
time_domain F213 Ivanov 1.9892884468247896 3.819840364880274
wide_area F129 Schlafly 81.42681426814268 81.42681426814268
panchromatic F129 Schlafly 14.514145141451415 14.514145141451415
time_domain F129 Schlafly 3.198031980319803 3.198031980319803
wide_area F158 Schlafly 81.30381303813039 81.30381303813039
panchromatic F158 Schlafly 14.514145141451415 14.514145141451415
time_domain F158 Schlafly 0.0 0.0
wide_area F184 Schlafly 77.73677736777368 77.73677736777368
panchromatic F184 Schlafly 14.391143911439114 14.391143911439114
time_domain F184 Schlafly 0.984009840098401 0.984009840098401
wide_area F213 Schlafly 81.42681426814268 81.42681426814268
panchromatic F213 Schlafly 14.514145141451415 14.514145141451415
time_domain F213 Schlafly 3.075030750307503 3.075030750307503
wide_area F106 Drew 1.7877094972067038 1.756311745334797
panchromatic F106 Drew 13.854748603351954 13.611416026344674
time_domain F106 Drew 4.134078212290502 4.061470911086718
wide_area F158 Drew 80.55865921787709 80.46103183315039
panchromatic F158 Drew 14.52513966480447 14.270032930845225
time_domain F158 Drew 0.0 0.0
wide_area F213 Drew 80.67039106145252 80.57080131723382
panchromatic F213 Drew 14.52513966480447 14.270032930845225
time_domain F213 Drew 5.027932960893855 4.939626783754116
wide_area F106 Zucker 0.8177570093457943 0.8177570093457943
panchromatic F106 Zucker 14.719626168224298 14.719626168224298
time_domain F106 Zucker 3.0373831775700935 3.0373831775700935
wide_area F129 Zucker 79.43925233644859 79.43925233644859
panchromatic F129 Zucker 14.836448598130842 14.836448598130842
time_domain F129 Zucker 3.0373831775700935 3.0373831775700935
wide_area F158 Zucker 79.32242990654206 79.32242990654206
panchromatic F158 Zucker 14.836448598130842 14.836448598130842
time_domain F158 Zucker 0.0 0.0
wide_area F213 Zucker 79.43925233644859 79.43925233644859
panchromatic F213 Zucker 14.836448598130842 14.836448598130842
time_domain F213 Zucker 2.9205607476635516 2.9205607476635516
wide_area F129 De_Furio2 69.79768786127167 70.05730659025788
panchromatic F129 De_Furio2 9.971098265895954 9.885386819484241
time_domain F129 De_Furio2 3.106936416184971 3.151862464183381
wide_area F158 De_Furio2 69.65317919075144 69.91404011461319
panchromatic F158 De_Furio2 9.971098265895954 9.885386819484241
time_domain F158 De_Furio2 0.0 0.0
wide_area F213 De_Furio2 69.79768786127167 70.05730659025788
panchromatic F213 De_Furio2 9.971098265895954 9.885386819484241
time_domain F213 De_Furio2 3.0346820809248554 3.080229226361032
wide_area F087 De 0.0 0.0
panchromatic F087 De 17.68901569186876 17.68901569186876
time_domain F087 De 3.7089871611982885 3.7089871611982885
wide_area F158 De 92.15406562054208 92.15406562054208
panchromatic F158 De 17.68901569186876 17.68901569186876
time_domain F158 De 0.0 0.0
wide_area F213 De 92.15406562054208 92.15406562054208
panchromatic F213 De 17.68901569186876 17.68901569186876
time_domain F213 De 3.138373751783167 3.138373751783167
wide_area F146 De 0.0 0.0
panchromatic F146 De 0.0 0.0
time_domain F146 De 0.0 0.0
wide_area F087 Carey 0.0 0.0
panchromatic F087 Carey 20.30716723549488 20.51282051282051
time_domain F087 Carey 5.290102389078498 6.41025641025641
wide_area F106 Carey 0.0 0.0
panchromatic F106 Carey 20.30716723549488 20.51282051282051
time_domain F106 Carey 5.290102389078498 6.41025641025641
wide_area F129 Carey 88.90784982935153 89.58333333333334
panchromatic F129 Carey 20.30716723549488 20.51282051282051
time_domain F129 Carey 5.290102389078498 6.41025641025641
wide_area F158 Carey 88.90784982935153 89.58333333333334
panchromatic F158 Carey 20.30716723549488 20.51282051282051
time_domain F158 Carey 0.0 0.0
wide_area F184 Carey 75.76791808873719 77.24358974358975
panchromatic F184 Carey 20.30716723549488 20.51282051282051
time_domain F184 Carey 1.3651877133105803 1.282051282051282
wide_area F213 Carey 88.90784982935153 89.58333333333334
panchromatic F213 Carey 20.30716723549488 20.51282051282051
time_domain F213 Carey 3.9249146757679183 5.128205128205128
wide_area F062 Sankrit 0.0 0.0
panchromatic F062 Sankrit 12.562814070351758 12.562814070351758
time_domain F062 Sankrit 2.814070351758794 2.814070351758794
wide_area F129 Sankrit 70.75376884422111 70.75376884422111
panchromatic F129 Sankrit 12.864321608040202 12.864321608040202
time_domain F129 Sankrit 2.814070351758794 2.814070351758794
wide_area F184 Sankrit 65.52763819095478 65.52763819095478
panchromatic F184 Sankrit 12.562814070351758 12.562814070351758
time_domain F184 Sankrit 0.8040201005025126 0.8040201005025126
wide_area F213 Sankrit 70.75376884422111 70.75376884422111
panchromatic F213 Sankrit 12.864321608040202 12.864321608040202
time_domain F213 Sankrit 3.015075376884422 3.015075376884422
wide_area F106 Gallart 0.547945205479452 0.547945205479452
panchromatic F106 Gallart 5.698630136986301 5.698630136986301
time_domain F106 Gallart 1.5342465753424657 1.5342465753424657
wide_area F129 Gallart 32.21917808219178 32.21917808219178
panchromatic F129 Gallart 5.863013698630137 5.863013698630137
time_domain F129 Gallart 1.5342465753424657 1.5342465753424657
wide_area F213 Gallart 32.21917808219178 32.21917808219178
panchromatic F213 Gallart 5.863013698630137 5.863013698630137
time_domain F213 Gallart 1.643835616438356 1.643835616438356
wide_area F213 Craig1 76.92307692307693 76.92307692307693
panchromatic F213 Craig1 38.46153846153847 38.46153846153847
time_domain F213 Craig1 0.0 0.0
wide_area F062 Sabin 0.0 0.0
panchromatic F062 Sabin 6.751054852320674 7.422775472568004
time_domain F062 Sabin 1.7932489451476792 2.7662517289073305
wide_area F129 Sabin 46.835443037974684 53.52697095435685
panchromatic F129 Sabin 7.2257383966244735 7.837713231904103
