"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_NGC3324_Carina Anderson SP10 "Ionized gas"
Deep_Acrux Anderson SP10 "Ionized gas"
Deep_NGC5269_5281 Anderson SP10 "Ionized gas"
Deep_Window_319.5-0.2 Anderson SP10 "Ionized gas"
Deep_G333 Anderson SP10 "Ionized gas"
Deep_ASSC_85 Anderson SP10 "Ionized gas"
Deep_Teutsch_84 Anderson SP10 "Ionized gas"
Deep_NGC6357_Lobster Anderson SP10 "Ionized gas"
Deep_Window_355.0-0.3 Anderson SP10 "Ionized gas"
Deep_VVV_CL001_UKS_1 Anderson SP10 "Ionized gas"
Deep_M17_Omega Anderson SP10 "Ionized gas"
Deep_Trumpler_35 Anderson SP10 "Ionized gas"
Deep_W44 Anderson SP10 "Ionized gas"
Deep_W51 Anderson SP10 "Ionized gas"
TDS_Galactic_Center_Q4 Anderson SP10 "Ionized gas"
TDS_Galactic_Center_Q1 Anderson SP10 "Ionized gas"
TDS_NGC6334_6357 Anderson SP10 "Ionized gas"
TDS_Carina Anderson SP10 "Ionized gas"
TDS_Serpens_W40 Anderson SP10 "Ionized gas"
TDS_W43 Anderson SP10 "Ionized gas"
