"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Bachelet SP14 Microlensing
Deep_NGC3324_Carina Bachelet SP14 Microlensing
Deep_Acrux Bachelet SP14 Microlensing
Deep_NGC5269_5281 Bachelet SP14 Microlensing
Deep_Window_319.5-0.2 Bachelet SP14 Microlensing
Deep_G333 Bachelet SP14 Microlensing
Deep_ASCC_85 Bachelet SP14 Microlensing
Deep_Teutsch_84 Bachelet SP14 Microlensing
Deep_NGC6357_Lobster Bachelet SP14 Microlensing
Deep_Window_355.0-0.3 Bachelet SP14 Microlensing
Deep_VVV_CL001_UKS_1 Bachelet SP14 Microlensing
Deep_M17_Omega Bachelet SP14 Microlensing
Deep_Trumpler_35 Bachelet SP14 Microlensing
Deep_W44 Bachelet SP14 Microlensing
Deep_W51 Bachelet SP14 Microlensing
TDS_Galactic_Center_Q4 Bachelet SP14 Microlensing
TDS_Galactic_Center_Q1 Bachelet SP14 Microlensing
TDS_NGC6334_6357 Bachelet SP14 Microlensing
TDS_Carina Bachelet SP14 Microlensing
TDS_Serpens_W40 Bachelet SP14 Microlensing
TDS_W43 Bachelet SP14 Microlensing
