"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Bahramian SP27 "X-ray binaries"
Deep_NGC3324_Carina Bahramian SP27 "X-ray binaries"
Deep_Acrux Bahramian SP27 "X-ray binaries"
Deep_NGC5269_5281 Bahramian SP27 "X-ray binaries"
Deep_Window_319.5-0.2 Bahramian SP27 "X-ray binaries"
Deep_G333 Bahramian SP27 "X-ray binaries"
Deep_ASSC_85 Bahramian SP27 "X-ray binaries"
Deep_Teutsch_84 Bahramian SP27 "X-ray binaries"
Deep_NGC6357_Lobster Bahramian SP27 "X-ray binaries"
Deep_Window_355.0-0.3 Bahramian SP27 "X-ray binaries"
Deep_VVV_CL001_UKS_1 Bahramian SP27 "X-ray binaries"
Deep_M17_Omega Bahramian SP27 "X-ray binaries"
Deep_Trumpler_35 Bahramian SP27 "X-ray binaries"
Deep_W44 Bahramian SP27 "X-ray binaries"
Deep_W51 Bahramian SP27 "X-ray binaries"
TDS_Galactic_Center_Q4 Bahramian SP27 "X-ray binaries"
TDS_Galactic_Center_Q1 Bahramian SP27 "X-ray binaries"
TDS_NGC6334_6357 Bahramian SP27 "X-ray binaries"
TDS_Carina Bahramian SP27 "X-ray binaries"
TDS_Serpens_W40 Bahramian SP27 "X-ray binaries"
TDS_W43 Bahramian SP27 "X-ray binaries"
