"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Craig SP40 Novae
Deep_NGC3324_Carina Craig SP40 Novae
Deep_Acrux Craig SP40 Novae
Deep_NGC5269_5281 Craig SP40 Novae
Deep_Window_319.5-0.2 Craig SP40 Novae
Deep_G333 Craig SP40 Novae
Deep_ASCC_85 Craig SP40 Novae
Deep_Teutsch_84 Craig SP40 Novae
Deep_NGC6357_Lobster Craig SP40 Novae
Deep_Window_355.0-0.3 Craig SP40 Novae
Deep_VVV_CL001_UKS_1 Craig SP40 Novae
Deep_M17_Omega Craig SP40 Novae
Deep_Trumpler_35 Craig SP40 Novae
Deep_W44 Craig SP40 Novae
Deep_W51 Craig SP40 Novae
TDS_Galactic_Center_Q4 Craig SP40 Novae
TDS_Galactic_Center_Q1 Craig SP40 Novae
TDS_NGC6334_6357 Craig SP40 Novae
TDS_Carina Craig SP40 Novae
TDS_Serpens_W40 Craig SP40 Novae
TDS_W43 Craig SP40 Novae
