"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Gallart SP36 "Stellar ages"
Deep_Window_319.5-0.2 Gallart SP36 "Stellar ages"
Deep_G333 Gallart SP36 "Stellar ages"
Deep_ASCC_85 Gallart SP36 "Stellar ages"
Deep_Teutsch_84 Gallart SP36 "Stellar ages"
Deep_NGC6357_Lobster Gallart SP36 "Stellar ages"
Deep_Window_355.0-0.3 Gallart SP36 "Stellar ages"
Deep_VVV_CL001_UKS_1 Gallart SP36 "Stellar ages"
Deep_M17_Omega Gallart SP36 "Stellar ages"
Deep_Trumpler_35 Gallart SP36 "Stellar ages"
Deep_W44 Gallart SP36 "Stellar ages"
Deep_W51 Gallart SP36 "Stellar ages"
TDS_Galactic_Center_Q4 Gallart SP36 "Stellar ages"
TDS_Galactic_Center_Q1 Gallart SP36 "Stellar ages"
TDS_NGC6334_6357 Gallart SP36 "Stellar ages"
TDS_Serpens_W40 Gallart SP36 "Stellar ages"
TDS_W43 Gallart SP36 "Stellar ages"
