"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_Acrux Ivanov SP39 "Star clusters"
Deep_NGC5269_5281 Ivanov SP39 "Star clusters"
Deep_Window_319.5-0.2 Ivanov SP39 "Star clusters"
Deep_G333 Ivanov SP39 "Star clusters"
Deep_ASCC_85 Ivanov SP39 "Star clusters"
Deep_Teutsch_84 Ivanov SP39 "Star clusters"
Deep_NGC6357_Lobster Ivanov SP39 "Star clusters"
Deep_Window_355.0-0.3 Ivanov SP39 "Star clusters"
Deep_VVV_CL001_UKS_1 Ivanov SP39 "Star clusters"
Deep_M17_Omega Ivanov SP39 "Star clusters"
Deep_Trumpler_35 Ivanov SP39 "Star clusters"
Deep_W44 Ivanov SP39 "Star clusters"
Deep_W51 Ivanov SP39 "Star clusters"
TDS_Galactic_Center_Q4 Ivanov SP39 "Star clusters"
TDS_Galactic_Center_Q1 Ivanov SP39 "Star clusters"
TDS_NGC6334_6357 Ivanov SP39 "Star clusters"
TDS_W43 Ivanov SP39 "Star clusters"
