"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Sankrit SP33 "Extinction map"
Deep_Acrux Sankrit SP33 "Extinction map"
Deep_NGC5269_5281 Sankrit SP33 "Extinction map"
Deep_Window_319.5-0.2 Sankrit SP33 "Extinction map"
Deep_G333 Sankrit SP33 "Extinction map"
Deep_ASCC_85 Sankrit SP33 "Extinction map"
Deep_Teutsch_84 Sankrit SP33 "Extinction map"
Deep_NGC6357_Lobster Sankrit SP33 "Extinction map"
Deep_Window_355.0-0.3 Sankrit SP33 "Extinction map"
Deep_VVV_CL001_UKS_1 Sankrit SP33 "Extinction map"
Deep_M17_Omega Sankrit SP33 "Extinction map"
Deep_Trumpler_35 Sankrit SP33 "Extinction map"
Deep_W44 Sankrit SP33 "Extinction map"
Deep_W51 Sankrit SP33 "Extinction map"
TDS_Galactic_Center_Q4 Sankrit SP33 "Extinction map"
TDS_Galactic_Center_Q1 Sankrit SP33 "Extinction map"
TDS_NGC6334_6357 Sankrit SP33 "Extinction map"
TDS_Serpens_W40 Sankrit SP33 "Extinction map"
TDS_W43 Sankrit SP33 "Extinction map"
