"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Villasenor SP15 "Massive stars"
Deep_NGC3324_Carina Villasenor SP15 "Massive stars"
Deep_G333 Villasenor SP15 "Massive stars"
Deep_Teutsch_84 Villasenor SP15 "Massive stars"
Deep_NGC6357_Lobster Villasenor SP15 "Massive stars"
Deep_Window_355.0-0.3 Villasenor SP15 "Massive stars"
Deep_M17_Omega Villasenor SP15 "Massive stars"
Deep_W44 Villasenor SP15 "Massive stars"
Deep_W51 Villasenor SP15 "Massive stars"
TDS_NGC6334_6357 Villasenor SP15 "Massive stars"
TDS_Carina Villasenor SP15 "Massive stars"
TDS_Serpens_W40 Villasenor SP15 "Massive stars"
TDS_W43 Villasenor SP15 "Massive stars"
