"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_W40 Werner SP06 SFR
Deep_NGC3324_Carina Werner SP06 SFR
Deep_Acrux Werner SP06 SFR
Deep_NGC5269_5281 Werner SP06 SFR
Deep_Window_319.5-0.2 Werner SP06 SFR
Deep_G333 Werner SP06 SFR
Deep_ASSC_85 Werner SP06 SFR
Deep_Teutsch_84 Werner SP06 SFR
Deep_NGC6357_Lobster Werner SP06 SFR
Deep_Window_355.0-0.3 Werner SP06 SFR
Deep_VVV_CL001_UKS_1 Werner SP06 SFR
Deep_M17_Omega Werner SP06 SFR
Deep_Trumpler_35 Werner SP06 SFR
Deep_W44 Werner SP06 SFR
Deep_W51 Werner SP06 SFR
TDS_Galactic_Center_Q4 Werner SP06 SFR
TDS_Galactic_Center_Q1 Werner SP06 SFR
TDS_NGC6334_6357 Werner SP06 SFR
TDS_Carina Werner SP06 SFR
TDS_Serpens_W40 Werner SP06 SFR
TDS_W43 Werner SP06 SFR
