"Deep/spectro/TD field" Science_case Science_code Science_topics
Deep_NGC6357_Lobster Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
Deep_Window_355.0-0.3 Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
Deep_VVV_CL001_UKS_1 Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
TDS_Galactic_Center_Q4 Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
TDS_Galactic_Center_Q1 Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
TDS_NGC6334_6357 Saito SP51 "Stellar populations,Galactic Center,Galactic structure,Stellar populations,Solar System Objects"
Deep_M17_Omega Saydjari SP43 ISM
Deep_NGC6357_Lobster Minniti_GCs SP49 GC
Deep_Window_355.0-0.3 Minniti_GCs SP49 GC
Deep_VVV_CL001_UKS_1 Minniti_GCs SP49 GC
TDS_Galactic_Center_Q4 Minniti_GCs SP49 GC
TDS_Galactic_Center_Q1 Minniti_GCs SP49 GC
TDS_NGC6334_6357 Minniti_GCs SP49 GC
Deep_W40 Sankrit SP33 "Extinction map"
Deep_Acrux Sankrit SP33 "Extinction map"
Deep_NGC5269_5281 Sankrit SP33 "Extinction map"
Deep_Window_319.5-0.2 Sankrit SP33 "Extinction map"
Deep_G333 Sankrit SP33 "Extinction map"
Deep_ASCC_85 Sankrit SP33 "Extinction map"
Deep_Teutsch_84 Sankrit SP33 "Extinction map"
Deep_NGC6357_Lobster Sankrit SP33 "Extinction map"
Deep_Window_355.0-0.3 Sankrit SP33 "Extinction map"
Deep_VVV_CL001_UKS_1 Sankrit SP33 "Extinction map"
Deep_M17_Omega Sankrit SP33 "Extinction map"
Deep_Trumpler_35 Sankrit SP33 "Extinction map"
Deep_W44 Sankrit SP33 "Extinction map"
Deep_W51 Sankrit SP33 "Extinction map"
TDS_Galactic_Center_Q4 Sankrit SP33 "Extinction map"
TDS_Galactic_Center_Q1 Sankrit SP33 "Extinction map"
TDS_NGC6334_6357 Sankrit SP33 "Extinction map"
TDS_Serpens_W40 Sankrit SP33 "Extinction map"
TDS_W43 Sankrit SP33 "Extinction map"
Deep_W40 Villasenor SP15 "Massive stars"
Deep_NGC3324_Carina Villasenor SP15 "Massive stars"
Deep_G333 Villasenor SP15 "Massive stars"
Deep_Teutsch_84 Villasenor SP15 "Massive stars"
Deep_NGC6357_Lobster Villasenor SP15 "Massive stars"
Deep_Window_355.0-0.3 Villasenor SP15 "Massive stars"
Deep_M17_Omega Villasenor SP15 "Massive stars"
Deep_W44 Villasenor SP15 "Massive stars"
Deep_W51 Villasenor SP15 "Massive stars"
TDS_NGC6334_6357 Villasenor SP15 "Massive stars"
TDS_Carina Villasenor SP15 "Massive stars"
TDS_Serpens_W40 Villasenor SP15 "Massive stars"
TDS_W43 Villasenor SP15 "Massive stars"
Deep_NGC3324_Carina Baravalle SP20 Galaxies,AGN
Deep_Acrux Baravalle SP20 Galaxies,AGN
Deep_NGC5269_5281 Baravalle SP20 Galaxies,AGN
Deep_Window_319.5-0.2 Baravalle SP20 Galaxies,AGN
Deep_G333 Baravalle SP20 Galaxies,AGN
Deep_ASCC_85 Baravalle SP20 Galaxies,AGN
Deep_Teutsch_84 Baravalle SP20 Galaxies,AGN
Deep_NGC6357_Lobster Baravalle SP20 Galaxies,AGN
Deep_Window_355.0-0.3 Baravalle SP20 Galaxies,AGN
Deep_VVV_CL001_UKS_1 Baravalle SP20 Galaxies,AGN
Deep_M17_Omega Baravalle SP20 Galaxies,AGN
TDS_Galactic_Center_Q4 Baravalle SP20 Galaxies,AGN
TDS_Galactic_Center_Q1 Baravalle SP20 Galaxies,AGN
TDS_NGC6334_6357 Baravalle SP20 Galaxies,AGN
TDS_Carina Baravalle SP20 Galaxies,AGN
Deep_W40 Bahramian SP27 "X-ray binaries"
Deep_NGC3324_Carina Bahramian SP27 "X-ray binaries"
Deep_Acrux Bahramian SP27 "X-ray binaries"
Deep_NGC5269_5281 Bahramian SP27 "X-ray binaries"
Deep_Window_319.5-0.2 Bahramian SP27 "X-ray binaries"
Deep_G333 Bahramian SP27 "X-ray binaries"
Deep_ASCC_85 Bahramian SP27 "X-ray binaries"
Deep_Teutsch_84 Bahramian SP27 "X-ray binaries"
Deep_NGC6357_Lobster Bahramian SP27 "X-ray binaries"
Deep_Window_355.0-0.3 Bahramian SP27 "X-ray binaries"
Deep_VVV_CL001_UKS_1 Bahramian SP27 "X-ray binaries"
Deep_M17_Omega Bahramian SP27 "X-ray binaries"
Deep_Trumpler_35 Bahramian SP27 "X-ray binaries"
Deep_W44 Bahramian SP27 "X-ray binaries"
Deep_W51 Bahramian SP27 "X-ray binaries"
TDS_Galactic_Center_Q4 Bahramian SP27 "X-ray binaries"
TDS_Galactic_Center_Q1 Bahramian SP27 "X-ray binaries"
TDS_NGC6334_6357 Bahramian SP27 "X-ray binaries"
TDS_Carina Bahramian SP27 "X-ray binaries"
TDS_Serpens_W40 Bahramian SP27 "X-ray binaries"
TDS_W43 Bahramian SP27 "X-ray binaries"
Deep_VVV_CL001_UKS_1 Kupfer WP03 "Compact binaries"
TDS_Galactic_Center_Q4 Freeman SP13 "RR Lyrae"
TDS_Galactic_Center_Q1 Freeman SP13 "RR Lyrae"
Deep_Acrux Hillenbrand SP44 "Stellar properties,Extinction map"
Deep_Window_319.5-0.2 Hillenbrand SP44 "Stellar properties,Extinction map"
Deep_ASCC_85 Hillenbrand SP44 "Stellar properties,Extinction map"
TDS_W43 Hillenbrand SP44 "Stellar properties,Extinction map"
Deep_M17_Omega Lim3_grism_targets SP11 SFR
