Survey_strategy Optic M2_nstars
wide_area F062 0.0
wide_area F087 0.0
wide_area F106 666105615.5201381
wide_area F129 325000245211.81464
wide_area F158 345451346742.3365
wide_area F184 253157686776.17026
wide_area F213 364895047480.89526
wide_area F146 0.0
wide_area G150 0.0
wide_area P127 0.0
panchromatic F062 9713729721.896235
panchromatic F087 17108017621.690876
panchromatic F106 20401431402.90828
panchromatic F129 23229164813.481163
panchromatic F158 24932670950.41594
panchromatic F184 25107774744.306282
panchromatic F213 26303483241.83065
panchromatic F146 0.0
panchromatic G150 0.0
panchromatic P127 0.0
time_domain F062 9231076542.45398
time_domain F087 16036643728.77613
time_domain F106 19023118921.667442
time_domain F129 21378363731.556183
time_domain F158 0.0
time_domain F184 398228379.7369171
time_domain F213 24281316211.17202
time_domain F146 0.0
time_domain G150 0.0
time_domain P127 0.0
