Survey_strategy Optic Science_case Category M3_%regions M3_count
wide_area F062 Lodieu2 globular_clusters 0.0 0
panchromatic F062 Lodieu2 globular_clusters 0.0 0
time_domain F062 Lodieu2 globular_clusters 0.0 0
wide_area F087 Lodieu2 globular_clusters 0.0 0
panchromatic F087 Lodieu2 globular_clusters 0.0 0
time_domain F087 Lodieu2 globular_clusters 0.0 0
wide_area F106 Lodieu2 globular_clusters 0.0 0
panchromatic F106 Lodieu2 globular_clusters 0.0 0
time_domain F106 Lodieu2 globular_clusters 0.0 0
wide_area F129 Lodieu2 globular_clusters 0.0 0
panchromatic F129 Lodieu2 globular_clusters 0.0 0
time_domain F129 Lodieu2 globular_clusters 0.0 0
wide_area F158 Lodieu2 globular_clusters 0.0 0
panchromatic F158 Lodieu2 globular_clusters 0.0 0
time_domain F158 Lodieu2 globular_clusters 0.0 0
wide_area F184 Lodieu2 globular_clusters 0.0 0
panchromatic F184 Lodieu2 globular_clusters 0.0 0
time_domain F184 Lodieu2 globular_clusters 0.0 0
wide_area F213 Lodieu2 globular_clusters 0.0 0
panchromatic F213 Lodieu2 globular_clusters 0.0 0
time_domain F213 Lodieu2 globular_clusters 0.0 0
wide_area F146 Lodieu2 globular_clusters 0.0 0
panchromatic F146 Lodieu2 globular_clusters 0.0 0
time_domain F146 Lodieu2 globular_clusters 0.0 0
wide_area F213 Minniti2 globular_clusters 100.0 2
panchromatic F213 Minniti2 globular_clusters 50.0 1
time_domain F213 Minniti2 globular_clusters 50.0 1
wide_area F213 Globular_Clusters globular_clusters 26.41509433962264 42
panchromatic F213 Globular_Clusters globular_clusters 3.7735849056603774 6
time_domain F213 Globular_Clusters globular_clusters 1.8867924528301887 3
