Survey_strategy Optic Science_case Category M3_%regions M3_count
wide_area F213 Paladini wide_area 100.0 3
panchromatic F213 Paladini wide_area 100.0 3
time_domain F213 Paladini wide_area 100.0 3
wide_area F087 Kruszynska wide_area 0.0 0
panchromatic F087 Kruszynska wide_area 100.0 1
time_domain F087 Kruszynska wide_area 100.0 1
wide_area F213 Kruszynska wide_area 100.0 1
panchromatic F213 Kruszynska wide_area 100.0 1
time_domain F213 Kruszynska wide_area 100.0 1
wide_area F106 Hunt wide_area 100.0 1
panchromatic F106 Hunt wide_area 100.0 1
time_domain F106 Hunt wide_area 100.0 1
wide_area F129 Hunt wide_area 100.0 1
panchromatic F129 Hunt wide_area 100.0 1
time_domain F129 Hunt wide_area 100.0 1
wide_area F158 Hunt wide_area 100.0 1
panchromatic F158 Hunt wide_area 100.0 1
time_domain F158 Hunt wide_area 100.0 1
wide_area F213 Hunt wide_area 100.0 1
panchromatic F213 Hunt wide_area 100.0 1
time_domain F213 Hunt wide_area 100.0 1
wide_area F158 Freeman wide_area 25.0 1
panchromatic F158 Freeman wide_area 0.0 0
time_domain F158 Freeman wide_area 25.0 1
wide_area F213 Freeman wide_area 25.0 1
panchromatic F213 Freeman wide_area 0.0 0
time_domain F213 Freeman wide_area 25.0 1
wide_area F087 Bachelet wide_area 0.0 0
panchromatic F087 Bachelet wide_area 100.0 1
time_domain F087 Bachelet wide_area 100.0 1
wide_area F158 Bachelet wide_area 100.0 1
panchromatic F158 Bachelet wide_area 100.0 1
time_domain F158 Bachelet wide_area 100.0 1
wide_area F213 Bachelet wide_area 100.0 1
panchromatic F213 Bachelet wide_area 100.0 1
time_domain F213 Bachelet wide_area 100.0 1
wide_area F129 Smith wide_area 100.0 1
panchromatic F129 Smith wide_area 100.0 1
time_domain F129 Smith wide_area 100.0 1
wide_area F158 Smith wide_area 100.0 1
panchromatic F158 Smith wide_area 100.0 1
time_domain F158 Smith wide_area 100.0 1
wide_area F213 Smith wide_area 100.0 1
panchromatic F213 Smith wide_area 100.0 1
time_domain F213 Smith wide_area 100.0 1
wide_area F106 Navarro wide_area 0.0 0
panchromatic F106 Navarro wide_area 100.0 1
time_domain F106 Navarro wide_area 100.0 1
wide_area F129 Navarro wide_area 100.0 1
panchromatic F129 Navarro wide_area 100.0 1
time_domain F129 Navarro wide_area 100.0 1
wide_area F158 Navarro wide_area 100.0 1
panchromatic F158 Navarro wide_area 100.0 1
time_domain F158 Navarro wide_area 100.0 1
wide_area F213 Navarro wide_area 100.0 1
panchromatic F213 Navarro wide_area 100.0 1
time_domain F213 Navarro wide_area 100.0 1
