Survey_strategy Survey_region Optic M5_proper_motion_precision
Option_1a Eastern_Plane F106 0.0
Option_1a Wide_Bulge F106 0.0
Option_1a Western_Plane F106 0.0
Option_1a Eastern_Plane F129 0.0
Option_1a Wide_Bulge F129 0.0
Option_1a Western_Plane F129 0.0
Option_1a Eastern_Plane F158 0.0
Option_1a Wide_Bulge F158 0.0
Option_1a Western_Plane F158 0.0
Option_1a Eastern_Plane F213 0.0
Option_1a Wide_Bulge F213 0.0
Option_1a Western_Plane F213 0.0
Option_1b Eastern_Plane F106 0.0
Option_1b Wide_Bulge F106 0.0
Option_1b Western_Plane F106 0.0
Option_1b Eastern_Plane F129 0.0
Option_1b Wide_Bulge F129 0.0
Option_1b Western_Plane F129 0.0
Option_1b Eastern_Plane F158 0.0
Option_1b Wide_Bulge F158 0.0
Option_1b Western_Plane F158 0.0
Option_1b Eastern_Plane F213 0.0
Option_1b Wide_Bulge F213 0.0
Option_1b Western_Plane F213 0.0
Option_2a Eastern_Plane F106 0.0
Option_2a Medium_Bulge F106 0.0
Option_2a Western_Plane F106 0.0
Option_2a Eastern_Plane F129 0.0
Option_2a Medium_Bulge F129 0.0
Option_2a Western_Plane F129 0.0
Option_2a Eastern_Plane F158 0.0
Option_2a Medium_Bulge F158 0.0
Option_2a Western_Plane F158 0.0
Option_2a Eastern_Plane F213 0.0
Option_2a Medium_Bulge F213 0.0
Option_2a Western_Plane F213 0.0
Option_2b Eastern_Plane F106 0.0
Option_2b Medium_Bulge F106 0.0
Option_2b Western_Plane F106 0.0
Option_2b Eastern_Plane F129 0.0
Option_2b Medium_Bulge F129 0.0
Option_2b Western_Plane F129 0.0
Option_2b Eastern_Plane F158 0.0
Option_2b Medium_Bulge F158 0.0
Option_2b Western_Plane F158 0.0
Option_2b Eastern_Plane F213 0.0
Option_2b Medium_Bulge F213 0.0
Option_2b Western_Plane F213 0.0
Option_3a Eastern_Plane F087 0.0
Option_3a Wide_Bulge F087 0.0
Option_3a Western_Plane F087 0.0
Option_3a Eastern_Plane F106 0.0
Option_3a Wide_Bulge F106 0.0
Option_3a Western_Plane F106 0.0
Option_3a Eastern_Plane F129 0.0
Option_3a Wide_Bulge F129 0.0
Option_3a Western_Plane F129 0.0
Option_3a Eastern_Plane F158 0.0
Option_3a Wide_Bulge F158 0.0
Option_3a Western_Plane F158 0.0
Option_3a Eastern_Plane F184 0.0
Option_3a Wide_Bulge F184 0.0
Option_3a Western_Plane F184 0.0
Option_3a Eastern_Plane F213 0.0
Option_3a Wide_Bulge F213 0.0
Option_3a Western_Plane F213 0.0
Option_3b Eastern_Plane F087 0.0
Option_3b Wide_Bulge F087 0.0
Option_3b Western_Plane F087 0.0
Option_3b Eastern_Plane F106 0.0
