Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area Zari Zari_Zari_SFR1 F106 0.0
wide_area wide_area_Galactic_Plane1 Zari Zari_Zari_SFR2 F158 1.6678684670765171
wide_area wide_area_Galactic_Plane2 Zari Zari_Zari_SFR2 F158 17.903525576274493
wide_area wide_area_Serpens Zari Zari_Zari_SFR2 F158 0.10424177919228232
wide_area wide_area_Galactic_Bulge1 Zari Zari_Zari_SFR2 F158 0.5733297855575528
wide_area wide_area_Galactic_Bulge2 Zari Zari_Zari_SFR2 F158 0.5472693407594823
wide_area wide_area_Galactic_Plane1 Zari Zari_Zari_SFR3 F213 1.6678684670765171
wide_area wide_area_Galactic_Plane2 Zari Zari_Zari_SFR3 F213 17.903525576274493
wide_area wide_area_Serpens Zari Zari_Zari_SFR3 F213 0.10424177919228232
wide_area wide_area_Galactic_Bulge1 Zari Zari_Zari_SFR3 F213 0.5733297855575528
wide_area wide_area_Galactic_Bulge2 Zari Zari_Zari_SFR3 F213 0.5472693407594823
wide_area wide_area_Galactic_Plane1 Werner Werner_Werner_SFR1 F213 1.2889867184470016
wide_area wide_area_Galactic_Plane2 Werner Werner_Werner_SFR1 F213 11.966673994230948
wide_area wide_area_Serpens Werner Werner_Werner_SFR1 F213 0.17418739438472994
wide_area wide_area_Galactic_Bulge1 Werner Werner_Werner_SFR1 F213 0.8186807536082308
wide_area wide_area_Galactic_Bulge2 Werner Werner_Werner_SFR1 F213 0.8186807536082308
wide_area wide_area_Galactic_Plane1 Werner Werner_Werner_SFR2 F213 0.0
wide_area wide_area_Galactic_Plane2 Werner Werner_Werner_SFR2 F213 0.0
wide_area wide_area_Serpens Werner Werner_Werner_SFR2 F213 0.0
wide_area wide_area_Galactic_Bulge1 Werner Werner_Werner_SFR2 F213 0.0
wide_area wide_area_Galactic_Bulge2 Werner Werner_Werner_SFR2 F213 0.0
wide_area wide_area_Galactic_Plane1 Werner Werner_Werner_SFR3 F213 0.0
wide_area wide_area_Galactic_Plane2 Werner Werner_Werner_SFR3 F213 0.0
wide_area wide_area_Serpens Werner Werner_Werner_SFR3 F213 0.0
wide_area wide_area_Galactic_Bulge1 Werner Werner_Werner_SFR3 F213 0.0
wide_area wide_area_Galactic_Bulge2 Werner Werner_Werner_SFR3 F213 0.0
wide_area wide_area_Galactic_Plane1 Werner Werner_Werner_SFR4 F213 0.0
wide_area wide_area_Galactic_Plane2 Werner Werner_Werner_SFR4 F213 0.0
wide_area wide_area_Serpens Werner Werner_Werner_SFR4 F213 0.0
wide_area wide_area_Galactic_Bulge1 Werner Werner_Werner_SFR4 F213 0.0
wide_area wide_area_Galactic_Bulge2 Werner Werner_Werner_SFR4 F213 0.0
wide_area wide_area_Galactic_Plane1 Lim1 Lim1_YSO_spec1 F129 0.0
wide_area wide_area_Galactic_Plane2 Lim1 Lim1_YSO_spec1 F129 0.0
wide_area wide_area_Serpens Lim1 Lim1_YSO_spec1 F129 0.0
wide_area wide_area_Galactic_Bulge1 Lim1 Lim1_YSO_spec1 F129 0.0
wide_area wide_area_Galactic_Bulge2 Lim1 Lim1_YSO_spec1 F129 0.0
wide_area wide_area_Galactic_Plane1 Lim1 Lim1_YSO_spec1 F158 0.0
wide_area wide_area_Galactic_Plane2 Lim1 Lim1_YSO_spec1 F158 0.0
wide_area wide_area_Serpens Lim1 Lim1_YSO_spec1 F158 0.0
wide_area wide_area_Galactic_Bulge1 Lim1 Lim1_YSO_spec1 F158 0.0
wide_area wide_area_Galactic_Bulge2 Lim1 Lim1_YSO_spec1 F158 0.0
wide_area wide_area_Galactic_Plane1 Lim1 Lim1_YSO_spec1 F213 0.0
wide_area wide_area_Galactic_Plane2 Lim1 Lim1_YSO_spec1 F213 0.0
wide_area wide_area_Serpens Lim1 Lim1_YSO_spec1 F213 0.0
