Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area Ivanov2 Ivanov2_extinction1 F106 0.0
wide_area wide_area_Galactic_Plane1 Ivanov2 Ivanov2_extinction1 F129 0.0
wide_area wide_area_Galactic_Plane2 Ivanov2 Ivanov2_extinction1 F129 33.54351537580228
wide_area wide_area_Serpens Ivanov2 Ivanov2_extinction1 F129 0.0
wide_area wide_area_Galactic_Bulge1 Ivanov2 Ivanov2_extinction1 F129 0.0
wide_area wide_area_Galactic_Bulge2 Ivanov2 Ivanov2_extinction1 F129 0.0
wide_area wide_area_Galactic_Plane1 Ivanov2 Ivanov2_extinction1 F158 0.0
wide_area wide_area_Galactic_Plane2 Ivanov2 Ivanov2_extinction1 F158 33.54351537580228
wide_area wide_area_Serpens Ivanov2 Ivanov2_extinction1 F158 0.0
wide_area wide_area_Galactic_Bulge1 Ivanov2 Ivanov2_extinction1 F158 0.0
wide_area wide_area_Galactic_Bulge2 Ivanov2 Ivanov2_extinction1 F158 0.0
wide_area wide_area_Galactic_Plane1 Ivanov2 Ivanov2_extinction1 F213 0.0
wide_area wide_area_Galactic_Plane2 Ivanov2 Ivanov2_extinction1 F213 33.54351537580228
wide_area wide_area_Serpens Ivanov2 Ivanov2_extinction1 F213 0.0
wide_area wide_area_Galactic_Bulge1 Ivanov2 Ivanov2_extinction1 F213 0.0
wide_area wide_area_Galactic_Bulge2 Ivanov2 Ivanov2_extinction1 F213 0.0
