Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area Lodieu2 "Lodieu2_M4 (NGC 6121)" F062 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6397" F062 0.0
wide_area wide_area Lodieu2 "Lodieu2_47 Tucanae (NGC 104)" F062 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6752" F062 0.0
wide_area wide_area Lodieu2 "Lodieu2_M15 (NGC 7078)" F062 0.0
wide_area wide_area Lodieu2 "Lodieu2_M4 (NGC 6121)" F087 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6397" F087 0.0
wide_area wide_area Lodieu2 "Lodieu2_47 Tucanae (NGC 104)" F087 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6752" F087 0.0
wide_area wide_area Lodieu2 "Lodieu2_M15 (NGC 7078)" F087 0.0
wide_area wide_area Lodieu2 "Lodieu2_M4 (NGC 6121)" F106 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6397" F106 0.0
wide_area wide_area Lodieu2 "Lodieu2_47 Tucanae (NGC 104)" F106 0.0
wide_area wide_area Lodieu2 "Lodieu2_NGC 6752" F106 0.0
wide_area wide_area Lodieu2 "Lodieu2_M15 (NGC 7078)" F106 0.0
wide_area wide_area_Galactic_Plane1 Lodieu2 "Lodieu2_M4 (NGC 6121)" F129 0.0
wide_area wide_area_Galactic_Plane2 Lodieu2 "Lodieu2_M4 (NGC 6121)" F129 0.0
wide_area wide_area_Serpens Lodieu2 "Lodieu2_M4 (NGC 6121)" F129 0.0
wide_area wide_area_Galactic_Bulge1 Lodieu2 "Lodieu2_M4 (NGC 6121)" F129 0.0
wide_area wide_area_Galactic_Bulge2 Lodieu2 "Lodieu2_M4 (NGC 6121)" F129 0.0
wide_area wide_area_Galactic_Plane1 Lodieu2 "Lodieu2_NGC 6397" F129 0.0
wide_area wide_area_Galactic_Plane2 Lodieu2 "Lodieu2_NGC 6397" F129 0.0
wide_area wide_area_Serpens Lodieu2 "Lodieu2_NGC 6397" F129 0.0
wide_area wide_area_Galactic_Bulge1 Lodieu2 "Lodieu2_NGC 6397" F129 0.0
wide_area wide_area_Galactic_Bulge2 Lodieu2 "Lodieu2_NGC 6397" F129 0.0
wide_area wide_area_Galactic_Plane1 Lodieu2 "Lodieu2_47 Tucanae (NGC 104)" F129 0.0
