Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area_Galactic_Plane1 Anderson Anderson_HII1 F184 1.481439023261884
wide_area wide_area_Galactic_Plane2 Anderson Anderson_HII1 F184 14.334487450435413
wide_area wide_area_Serpens Anderson Anderson_HII1 F184 0.14605736849060827
wide_area wide_area Anderson Anderson_HII1 G150 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
wide_area wide_area Villasenor Villasenor_Villasenor_catalog F062 0.0
