Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area Minniti Minniti_LLC1 F106 0.0
wide_area wide_area_Galactic_Plane1 Minniti Minniti_LLC1 F158 2.7444694398383684
wide_area wide_area_Galactic_Plane2 Minniti Minniti_LLC1 F158 8.717726455957171
wide_area wide_area_Serpens Minniti Minniti_LLC1 F158 0.0
wide_area wide_area_Galactic_Bulge1 Minniti Minniti_LLC1 F158 0.0
wide_area wide_area_Galactic_Bulge2 Minniti Minniti_LLC1 F158 0.0
wide_area wide_area_Galactic_Plane1 Minniti Minniti_LLC1 F213 2.7444694398383684
wide_area wide_area_Galactic_Plane2 Minniti Minniti_LLC1 F213 8.717726455957171
wide_area wide_area_Serpens Minniti Minniti_LLC1 F213 0.0
wide_area wide_area_Galactic_Bulge1 Minniti Minniti_LLC1 F213 0.0
wide_area wide_area_Galactic_Bulge2 Minniti Minniti_LLC1 F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Bulge2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane1 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Galactic_Plane2 Open_Clusters Open_Clusters_OCs_catalog F213 0.0
wide_area wide_area_Serpens Open_Clusters Open_Clusters_OCs_catalog F213 0.0
