Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area Ivanov1 Ivanov1_Spectra_library G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field1 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field2 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field3 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field4 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field5 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field6 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field7 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field8 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field9 G150 0.0
wide_area wide_area Hillenbrand Hillenbrand_grism_field10 G150 0.0
wide_area wide_area Pal Pal_spectro1 G150 0.0
wide_area wide_area Pal Pal_spectro2 G150 0.0
wide_area wide_area Pal Pal_spectro3 G150 0.0
wide_area wide_area Pal Pal_spectro4 G150 0.0
