Survey_strategy Survey_region Science_case Science_region Common_area Optic M6_%sky_area_nvisits M6_%nvisits
time_domain time_domain_TDS_Baades_Windows Paladini2 Paladini2_Paladini2 0.0 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Paladini2 Paladini2_Paladini2 0.0 F213 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Paladini2 Paladini2_Paladini2 0.0 F213 0.0 0.0
time_domain time_domain_TDS_Carina Paladini2 Paladini2_Paladini2 0.0 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Paladini2 Paladini2_Paladini2 18.464460194645667 F213 48.88888888888888 48.88888888888888
time_domain time_domain Benecchi Benecchi_Benecchi1 0.0 F146 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6528 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6528 0.0 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6528 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6528 0.0 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6528 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6522 2.5178809356335003 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6522 0.0 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6522 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6522 0.0 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6522 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_VVV_CL001 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_VVV_CL001 0.0 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_VVV_CL001 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_VVV_CL001 0.0 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_VVV_CL001 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_UKS1 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_UKS1 0.0 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_UKS1 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_UKS1 0.0 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_UKS1 0.0 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6528 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6528 0.0 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6528 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6528 0.0 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6528 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6522 2.5178809356335003 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6522 0.0 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6522 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6522 0.0 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6522 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_VVV_CL001 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_VVV_CL001 0.0 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_VVV_CL001 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_VVV_CL001 0.0 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_VVV_CL001 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_UKS1 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_UKS1 0.0 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_UKS1 0.0 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_UKS1 0.0 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_UKS1 0.0 F087 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog 0.0 F184 0.0 0.0
