Survey_strategy Survey_region Science_case Science_region Optic M6_%sky_area_nvisits
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs1 F129 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs1 F129 70.4413822891848
wide_area wide_area_Serpens Morihana2 Morihana2_CVs1 F129 0.0
wide_area wide_area_Galactic_Bulge1 Morihana2 Morihana2_CVs1 F129 0.0
wide_area wide_area_Galactic_Bulge2 Morihana2 Morihana2_CVs1 F129 0.0
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs2 F129 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs2 F129 18.847544738062897
wide_area wide_area_Serpens Morihana2 Morihana2_CVs2 F129 1.0529354602269776
wide_area wide_area_Galactic_Bulge1 Morihana2 Morihana2_CVs2 F129 0.0
wide_area wide_area_Galactic_Bulge2 Morihana2 Morihana2_CVs2 F129 0.0
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs1 F184 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs1 F184 70.4413822891848
wide_area wide_area_Serpens Morihana2 Morihana2_CVs1 F184 0.0
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs2 F184 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs2 F184 18.847544738062897
wide_area wide_area_Serpens Morihana2 Morihana2_CVs2 F184 1.0529354602269776
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs1 F213 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs1 F213 70.4413822891848
wide_area wide_area_Serpens Morihana2 Morihana2_CVs1 F213 0.0
wide_area wide_area_Galactic_Bulge1 Morihana2 Morihana2_CVs1 F213 0.0
wide_area wide_area_Galactic_Bulge2 Morihana2 Morihana2_CVs1 F213 0.0
wide_area wide_area_Galactic_Plane1 Morihana2 Morihana2_CVs2 F213 0.0
wide_area wide_area_Galactic_Plane2 Morihana2 Morihana2_CVs2 F213 18.847544738062897
wide_area wide_area_Serpens Morihana2 Morihana2_CVs2 F213 1.0529354602269776
wide_area wide_area_Galactic_Bulge1 Morihana2 Morihana2_CVs2 F213 0.0
wide_area wide_area_Galactic_Bulge2 Morihana2 Morihana2_CVs2 F213 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru1 F129 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru1 F129 70.4413822891848
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru1 F129 0.0
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru1 F129 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru1 F129 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru2 F129 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru2 F129 18.847544738062897
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru2 F129 1.0529354602269776
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru2 F129 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru2 F129 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru1 F158 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru1 F158 70.4413822891848
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru1 F158 0.0
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru1 F158 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru1 F158 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru2 F158 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru2 F158 18.847544738062897
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru2 F158 1.0529354602269776
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru2 F158 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru2 F158 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru1 F213 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru1 F213 70.4413822891848
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru1 F213 0.0
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru1 F213 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru1 F213 0.0
wide_area wide_area_Galactic_Plane1 Morihana1 Morihana1_Subaru2 F213 0.0
wide_area wide_area_Galactic_Plane2 Morihana1 Morihana1_Subaru2 F213 18.847544738062897
wide_area wide_area_Serpens Morihana1 Morihana1_Subaru2 F213 1.0529354602269776
wide_area wide_area_Galactic_Bulge1 Morihana1 Morihana1_Subaru2 F213 0.0
wide_area wide_area_Galactic_Bulge2 Morihana1 Morihana1_Subaru2 F213 0.0
