# Survey_strategy  Optics  M6_%sky_area_single_filter  M6_%sky_area_filter_combo
Option_1a F087 0.0 nan
Option_1a F106 607.6485991328848 nan
Option_1a F129 753.6856933996278 nan
Option_1a F158 607.6485991328848 nan
Option_1a F184 0.0 nan
Option_1a F213 753.6856933996278 nan
Option_1a F146 0.0 nan
Option_1a G150 0.0 nan
Option_1a P127 0.0 nan
Option_1a F129, nan 0.0
Option_1a F184, nan 0.0
Option_1a F129, nan 1.6785872904223336
Option_1b F087 0.0 nan
Option_1b F106 753.6856933996278 nan
Option_1b F129 1030.6525963193128 nan
Option_1b F158 753.6856933996278 nan
Option_1b F184 0.0 nan
Option_1b F213 1030.6525963193128 nan
Option_1b F146 0.0 nan
Option_1b G150 0.0 nan
Option_1b P127 0.0 nan
Option_1b F129, nan 0.0
Option_1b F184, nan 0.0
Option_1b F129, nan 1.6785872904223336
Option_2a F087 0.0 nan
Option_2a F106 441.46845738107373 nan
Option_2a F129 686.5422017827344 nan
Option_2a F158 441.46845738107373 nan
Option_2a F184 0.0 nan
Option_2a F213 686.5422017827344 nan
Option_2a F146 0.0 nan
Option_2a G150 0.0 nan
Option_2a P127 0.0 nan
Option_2a F129, nan 0.0
Option_2a F184, nan 0.0
Option_2a F129, nan 1.6785872904223336
Option_2b F087 0.0 nan
Option_2b F106 587.5055516478168 nan
Option_2b F129 967.7055729284752 nan
Option_2b F158 587.5055516478168 nan
Option_2b F184 0.0 nan
Option_2b F213 967.7055729284752 nan
Option_2b F146 0.0 nan
Option_2b G150 0.0 nan
Option_2b P127 0.0 nan
Option_2b F129, nan 0.0
Option_2b F184, nan 0.0
Option_2b F129, nan 1.6785872904223336
Option_3a F087 518.6834727405011 nan
Option_3a F106 537.9872265803579 nan
Option_3a F129 684.024320847101 nan
Option_3a F158 537.9872265803579 nan
Option_3a F184 518.6834727405011 nan
Option_3a F213 684.024320847101 nan
Option_3a F146 0.0 nan
Option_3a G150 0.0 nan
Option_3a P127 0.0 nan
Option_3a F129, nan 0.8392936452111668
Option_3a F184, nan 0.8392936452111668
Option_3a F129, nan 1.6785872904223336
Option_3b F087 604.2914245520401 nan
Option_3b F106 665.5598606524553 nan
Option_3b F129 941.6874699269291 nan
Option_3b F158 665.5598606524553 nan
Option_3b F184 604.2914245520401 nan
Option_3b F213 941.6874699269291 nan
Option_3b F146 0.0 nan
Option_3b G150 0.0 nan
Option_3b P127 0.0 nan
Option_3b F129, nan 0.8392936452111668
Option_3b F184, nan 0.8392936452111668
Option_3b F129, nan 1.6785872904223336
Option_4a F087 352.50333098869004 nan
Option_4a F106 371.80708482854686 nan
Option_4a F129 713.3995984294918 nan
Option_4a F158 371.80708482854686 nan
