Survey_strategy Survey_region Science_case Science_region Optic M7_%sky_area_nvisits
Option_1a Option_1a_Eastern_Plane Paladini Paladini_Plane1 F213 14.535523329514321
Option_1a Option_1a_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_1a Option_1a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_1b Option_1b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_1b Option_1b_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_1b Option_1b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_2a Option_2a_Eastern_Plane Paladini Paladini_Plane1 F213 19.00799204628796
Option_2a Option_2a_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_2a Option_2a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_2b Option_2b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_2b Option_2b_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_2b Option_2b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_3a Option_3a_Eastern_Plane Paladini Paladini_Plane1 F213 11.479336373052336
Option_3a Option_3a_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_3a Option_3a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_3b Option_3b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_3b Option_3b_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_3b Option_3b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_4a Option_4a_Eastern_Plane Paladini Paladini_Plane1 F213 20.275191516040493
Option_4a Option_4a_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_4a Option_4a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_4b Option_4b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_4b Option_4b_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_4b Option_4b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_5a Option_5a_Eastern_Plane Paladini Paladini_Plane1 F213 15.430017072869049
Option_5a Option_5a_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_5a Option_5a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_5b Option_5b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_5b Option_5b_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_5b Option_5b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_6a Option_6a_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_6a Option_6a_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_6a Option_6a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_6b Option_6b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_6b Option_6b_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_6b Option_6b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_7a Option_7a_Eastern_Plane Paladini Paladini_Plane1 F213 5.516044750687486
Option_7a Option_7a_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_7a Option_7a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_7b Option_7b_Eastern_Plane Paladini Paladini_Plane1 F213 14.535523329514321
Option_7b Option_7b_Wide_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_7b Option_7b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_8a Option_8a_Eastern_Plane Paladini Paladini_Plane1 F213 14.162817603116517
Option_8a Option_8a_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_8a Option_8a_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_8b Option_8b_Eastern_Plane Paladini Paladini_Plane1 F213 22.13872014802951
Option_8b Option_8b_Medium_Bulge Paladini Paladini_Plane1 F213 0.3727057263978031
Option_8b Option_8b_Western_Plane Paladini Paladini_Plane1 F213 0.0
Option_1a Option_1a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_1a Option_1a_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_1a Option_1a_Western_Plane Paladini Paladini_Plane2 F213 14.553384626306547
Option_1b Option_1b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_1b Option_1b_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_1b Option_1b_Western_Plane Paladini Paladini_Plane2 F213 22.20516417209659
Option_2a Option_2a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_2a Option_2a_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_2a Option_2a_Western_Plane Paladini Paladini_Plane2 F213 18.904396524893045
Option_2b Option_2b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_2b Option_2b_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_2b Option_2b_Western_Plane Paladini Paladini_Plane2 F213 22.20516417209659
Option_3a Option_3a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_3a Option_3a_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_3a Option_3a_Western_Plane Paladini Paladini_Plane2 F213 11.402651872157708
Option_3b Option_3b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_3b Option_3b_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_3b Option_3b_Western_Plane Paladini Paladini_Plane2 F213 22.280181618623942
Option_4a Option_4a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_4a Option_4a_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_4a Option_4a_Western_Plane Paladini Paladini_Plane2 F213 20.02965822280334
Option_4b Option_4b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_4b Option_4b_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_4b Option_4b_Western_Plane Paladini Paladini_Plane2 F213 22.280181618623942
Option_5a Option_5a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_5a Option_5a_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_5a Option_5a_Western_Plane Paladini Paladini_Plane2 F213 15.378576538107435
Option_5b Option_5b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_5b Option_5b_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_5b Option_5b_Western_Plane Paladini Paladini_Plane2 F213 22.20516417209659
Option_6a Option_6a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_6a Option_6a_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_6a Option_6a_Western_Plane Paladini Paladini_Plane2 F213 22.355199065151293
Option_6b Option_6b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_6b Option_6b_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_6b Option_6b_Western_Plane Paladini Paladini_Plane2 F213 22.20516417209659
Option_7a Option_7a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_7a Option_7a_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_7a Option_7a_Western_Plane Paladini Paladini_Plane2 F213 5.1011863638600285
Option_7b Option_7b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_7b Option_7b_Wide_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_7b Option_7b_Western_Plane Paladini Paladini_Plane2 F213 14.628402072833904
Option_8a Option_8a_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_8a Option_8a_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_8a Option_8a_Western_Plane Paladini Paladini_Plane2 F213 13.878227607560367
Option_8b Option_8b_Eastern_Plane Paladini Paladini_Plane2 F213 0.0
Option_8b Option_8b_Medium_Bulge Paladini Paladini_Plane2 F213 0.5251221256914734
Option_8b Option_8b_Western_Plane Paladini Paladini_Plane2 F213 22.20516417209659
Option_1a Option_1a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_1a Option_1a_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_1a Option_1a_Western_Plane Paladini Paladini_Bulge F213 0.20519753475834104
Option_1b Option_1b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_1b Option_1b_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_1b Option_1b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_2a Option_2a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_2a Option_2a_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_2a Option_2a_Western_Plane Paladini Paladini_Bulge F213 0.20519753475834104
Option_2b Option_2b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_2b Option_2b_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_2b Option_2b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_3a Option_3a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_3a Option_3a_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_3a Option_3a_Western_Plane Paladini Paladini_Bulge F213 0.2345114682952469
Option_3b Option_3b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_3b Option_3b_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_3b Option_3b_Western_Plane Paladini Paladini_Bulge F213 0.20519753475834104
Option_4a Option_4a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_4a Option_4a_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_4a Option_4a_Western_Plane Paladini Paladini_Bulge F213 0.2345114682952469
Option_4b Option_4b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_4b Option_4b_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_4b Option_4b_Western_Plane Paladini Paladini_Bulge F213 0.20519753475834104
Option_5a Option_5a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_5a Option_5a_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_5a Option_5a_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_5b Option_5b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_5b Option_5b_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_5b Option_5b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_6a Option_6a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_6a Option_6a_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_6a Option_6a_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_6b Option_6b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_6b Option_6b_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_6b Option_6b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_7a Option_7a_Eastern_Plane Paladini Paladini_Bulge F213 2.19854501526794
Option_7a Option_7a_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_7a Option_7a_Western_Plane Paladini Paladini_Bulge F213 0.2345114682952469
Option_7b Option_7b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_7b Option_7b_Wide_Bulge Paladini Paladini_Bulge F213 12.25322421842665
Option_7b Option_7b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_8a Option_8a_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_8a Option_8a_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_8a Option_8a_Western_Plane Paladini Paladini_Bulge F213 0.2345114682952469
Option_8b Option_8b_Eastern_Plane Paladini Paladini_Bulge F213 3.576299891502516
Option_8b Option_8b_Medium_Bulge Paladini Paladini_Bulge F213 9.380458731809876
Option_8b Option_8b_Western_Plane Paladini Paladini_Bulge F213 0.1465696676845293
Option_1a Option_1a_Eastern_Plane Paladini2 Paladini2_Paladini_TDA F213 3.576299891502516
Option_1a Option_1a_Wide_Bulge Paladini2 Paladini2_Paladini_TDA F213 12.25322421842665
Option_1a Option_1a_Western_Plane Paladini2 Paladini2_Paladini_TDA F213 0.20519753475834104
Option_1b Option_1b_Eastern_Plane Paladini2 Paladini2_Paladini_TDA F213 3.576299891502516
Option_1b Option_1b_Wide_Bulge Paladini2 Paladini2_Paladini_TDA F213 12.25322421842665
Option_1b Option_1b_Western_Plane Paladini2 Paladini2_Paladini_TDA F213 0.1465696676845293
