Survey_strategy Survey_region Science_case Science_region Optic M6_%nvisits M6_%duration
wide_area wide_area Freeman Freeman_RRLyrae1 F158 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae1 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae1 F158 0.46666666666666673 0.09178082191780823
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae1 F158 0.46666666666666673 0.09178082191780823
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae1 F158 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae1 F158 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae1 F158 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae1 F158 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae2 F158 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae2 F158 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae2 F158 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae3 F158 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae3 F158 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae3 F158 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae4 F158 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae4 F158 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae4 F158 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae1 F213 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae1 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae1 F213 200.0 17.26027397260274
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae1 F213 200.0 17.26027397260274
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae1 F213 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae1 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae1 F213 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae1 F213 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae2 F213 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae2 F213 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae2 F213 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae3 F213 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae3 F213 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae3 F213 0.0 0.0
wide_area wide_area Freeman Freeman_RRLyrae4 F213 0.0 0.0
deep_spec deep_spec Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q4 Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center_Q1 Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_Carina Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Freeman Freeman_RRLyrae4 F213 0.0 0.0
time_domain time_domain_TDS_W43 Freeman Freeman_RRLyrae4 F213 0.0 0.0
