Survey_strategy Optic Science_case M1_%pix M1_%priority
Option_1a F213 Paladini2 15.555555555555555 15.555555555555555
Option_1b F213 Paladini2 15.555555555555555 15.555555555555555
Option_2a F213 Paladini2 15.555555555555555 15.555555555555555
Option_2b F213 Paladini2 15.555555555555555 15.555555555555555
Option_3a F213 Paladini2 15.555555555555555 15.555555555555555
Option_3b F213 Paladini2 15.555555555555555 15.555555555555555
Option_4a F213 Paladini2 15.555555555555555 15.555555555555555
Option_4b F213 Paladini2 15.555555555555555 15.555555555555555
Option_5a F213 Paladini2 15.555555555555555 15.555555555555555
Option_5b F213 Paladini2 15.555555555555555 15.555555555555555
Option_6a F213 Paladini2 15.555555555555555 15.555555555555555
Option_6b F213 Paladini2 15.555555555555555 15.555555555555555
Option_7a F213 Paladini2 0.0 0.0
Option_7b F213 Paladini2 15.555555555555555 15.555555555555555
Option_8a F213 Paladini2 15.555555555555555 15.555555555555555
Option_8b F213 Paladini2 15.555555555555555 15.555555555555555
Option_1a F146 Benecchi 0.0 0.0
Option_1b F146 Benecchi 0.0 0.0
Option_2a F146 Benecchi 0.0 0.0
Option_2b F146 Benecchi 0.0 0.0
Option_3a F146 Benecchi 0.0 0.0
Option_3b F146 Benecchi 0.0 0.0
Option_4a F146 Benecchi 0.0 0.0
Option_4b F146 Benecchi 0.0 0.0
Option_5a F146 Benecchi 0.0 0.0
Option_5b F146 Benecchi 0.0 0.0
Option_6a F146 Benecchi 0.0 0.0
Option_6b F146 Benecchi 0.0 0.0
Option_7a F146 Benecchi 0.0 0.0
Option_7b F146 Benecchi 0.0 0.0
Option_8a F146 Benecchi 0.0 0.0
Option_8b F146 Benecchi 0.0 0.0
Option_1a F062 Kupfer 0.0 0.0
Option_1b F062 Kupfer 0.0 0.0
Option_2a F062 Kupfer 0.0 0.0
Option_2b F062 Kupfer 0.0 0.0
Option_3a F062 Kupfer 0.0 0.0
Option_3b F062 Kupfer 0.0 0.0
Option_4a F062 Kupfer 0.0 0.0
Option_4b F062 Kupfer 0.0 0.0
Option_5a F062 Kupfer 0.0 0.0
Option_5b F062 Kupfer 0.0 0.0
Option_6a F062 Kupfer 0.0 0.0
Option_6b F062 Kupfer 0.0 0.0
Option_7a F062 Kupfer 0.0 0.0
Option_7b F062 Kupfer 0.0 0.0
Option_8a F062 Kupfer 0.0 0.0
Option_8b F062 Kupfer 0.0 0.0
Option_1a F087 Kupfer 0.0 0.0
Option_1b F087 Kupfer 0.0 0.0
Option_2a F087 Kupfer 0.0 0.0
Option_2b F087 Kupfer 0.0 0.0
Option_3a F087 Kupfer 50.0 50.0
Option_3b F087 Kupfer 50.0 50.0
Option_4a F087 Kupfer 50.0 50.0
Option_4b F087 Kupfer 50.0 50.0
Option_5a F087 Kupfer 0.0 0.0
