Survey_strategy Optic M2_nstars
Option_1a F087 0.0
Option_1a F106 271857160555.05066
Option_1a F129 317453885267.75714
Option_1a F158 326000100815.9966
Option_1a F184 0.0
Option_1a F213 356004506744.1037
Option_1a F146 0.0
Option_1a G150 0.0
Option_1a P127 0.0
Option_1b F087 0.0
Option_1b F106 282085990850.5894
Option_1b F129 327931919786.0842
Option_1b F158 338783090948.14594
Option_1b F184 0.0
Option_1b F213 368140094107.0621
Option_1b F146 0.0
Option_1b G150 0.0
Option_1b P127 0.0
Option_2a F087 0.0
Option_2a F106 269612801779.6828
Option_2a F129 320157290878.3579
Option_2a F158 323350676902.09235
Option_2a F184 0.0
Option_2a F213 359280697438.29205
Option_2a F146 0.0
Option_2a G150 0.0
Option_2a P127 0.0
Option_2b F087 0.0
Option_2b F106 279841632075.2216
Option_2b F129 327096629495.5861
Option_2b F158 336133667034.2417
Option_2b F184 0.0
Option_2b F213 367253271141.3171
Option_2b F146 0.0
Option_2b G150 0.0
Option_2b P127 0.0
Option_3a F087 221908818446.94046
Option_3a F106 265550792904.84012
Option_3a F129 312313677149.8865
Option_3a F158 318071182196.00714
Option_3a F184 319141540436.8955
Option_3a F213 349981886722.3884
Option_3a F146 0.0
Option_3a G150 0.0
Option_3a P127 0.0
Option_3b F087 229246366137.33154
Option_3b F106 276452123326.79456
Option_3b F129 325718183916.7623
Option_3b F158 331755186330.24774
Option_3b F184 330557242645.95135
Option_3b F213 365592084301.85034
Option_3b F146 0.0
Option_3b G150 0.0
Option_3b P127 0.0
Option_4a F087 220001534139.8628
Option_4a F106 263306434129.4723
Option_4a F129 321184860597.6426
Option_4a F158 315421758282.1029
Option_4a F184 316463438962.78827
Option_4a F213 360462323212.95715
Option_4a F146 0.0
Option_4a G150 0.0
Option_4a P127 0.0
Option_4b F087 227339081830.2539
Option_4b F106 274207764551.42676
Option_4b F129 327217137493.262
Option_4b F158 329105762416.3435
Option_4b F184 327879141171.8441
Option_4b F213 367377640744.02313
Option_4b F146 0.0
Option_4b G150 0.0
Option_4b P127 0.0
Option_5a F087 0.0
Option_5a F106 0.0
Option_5a F129 318124379727.96545
Option_5a F158 339761144717.6881
Option_5a F184 0.0
Option_5a F213 356806905530.02747
Option_5a F146 0.0
Option_5a G150 0.0
Option_5a P127 0.0
Option_5b F087 0.0
Option_5b F106 0.0
Option_5b F129 328343294370.5029
Option_5b F158 350814562837.3894
Option_5b F184 0.0
Option_5b F213 368602870985.36426
Option_5b F146 0.0
Option_5b G150 0.0
Option_5b P127 0.0
Option_6a F087 0.0
Option_6a F106 0.0
Option_6a F129 323873528924.33636
Option_6a F158 346041168587.04395
Option_6a F184 0.0
Option_6a F213 363574335526.5658
Option_6a F146 0.0
Option_6a G150 0.0
Option_6a P127 0.0
Option_6b F087 0.0
Option_6b F106 0.0
Option_6b F129 328042235031.2668
Option_6b F158 350496730094.82056
Option_6b F184 0.0
Option_6b F213 368306996117.77625
Option_6b F146 0.0
Option_6b G150 0.0
Option_6b P127 0.0
Option_7a F087 0.0
Option_7a F106 266515092853.6076
Option_7a F129 299405777715.7013
Option_7a F158 319275763814.075
Option_7a F184 0.0
Option_7a F213 334783615300.27435
Option_7a F146 0.0
Option_7a G150 0.0
Option_7a P127 0.0
Option_7b F087 0.0
Option_7b F106 281908287118.8142
Option_7b F129 317029589986.8804
Option_7b F158 338571518548.9413
Option_7b F184 0.0
Option_7b F213 355535429067.3034
Option_7b F146 0.0
Option_7b G150 0.0
Option_7b P127 0.0
Option_8a F087 0.0
Option_8a F106 279860486621.294
Option_8a F129 314749847042.82556
Option_8a F158 336142468741.3119
Option_8a F184 0.0
Option_8a F213 352981913839.7821
Option_8a F146 0.0
Option_8a G150 0.0
Option_8a P127 0.0
Option_8b F087 0.0
Option_8b F106 287423016186.0112
Option_8b F129 323309886323.50287
Option_8b F158 345436895244.7527
Option_8b F184 0.0
Option_8b F213 362934446950.9477
Option_8b F146 0.0
Option_8b G150 0.0
Option_8b P127 0.0
