Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F106 Zari 0.0 0.0
wide_area F158 Zari 70.69943289224952 70.69943289224952
wide_area F213 Zari 70.69943289224952 70.69943289224952
wide_area F213 Werner 48.773189706762416 48.773189706762416
wide_area F129 Lim1 0.0 0.0
wide_area F158 Lim1 0.0 0.0
wide_area F213 Lim1 0.0 0.0
wide_area G150 Lim1 0.0 0.0
wide_area F129 De_Furio 6.327657616198803 6.822867853795689
wide_area F184 De_Furio 5.706396686608375 6.091846298031865
wide_area F213 De_Furio 6.327657616198803 6.822867853795689
wide_area F129 Lim2 6.851311953352769 5.45876887340302
wide_area F158 Lim2 6.851311953352769 5.45876887340302
wide_area F213 Lim2 6.851311953352769 5.45876887340302
wide_area G150 Lim3_grism_targets 0.0 0.0
wide_area G150 Pascucci 0.0 0.0
wide_area F158 Kuhn 15.492957746478872 15.492957746478872
wide_area F184 Kuhn 15.492957746478872 15.492957746478872
wide_area F213 Kuhn 15.492957746478872 15.492957746478872
wide_area F184 Gramze 100.0 100.0
