Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F213 Paladini 62.60806916426513 64.93843162670123
wide_area F087 Kruszynska 0.0 0.0
wide_area F213 Kruszynska 44.57013574660634 44.57013574660634
wide_area F106 Hunt 0.8177570093457943 0.8177570093457943
wide_area F129 Hunt 79.43925233644859 79.43925233644859
wide_area F158 Hunt 79.43925233644859 79.43925233644859
wide_area F213 Hunt 79.43925233644859 79.43925233644859
wide_area F158 Freeman 25.0 25.0
wide_area F213 Freeman 25.0 25.0
wide_area F087 Bachelet 0.0 0.0
wide_area F158 Bachelet 59.68939905469277 59.68939905469277
wide_area F213 Bachelet 59.68939905469277 59.68939905469277
wide_area F129 Smith 100.0 100.0
wide_area F158 Smith 100.0 100.0
wide_area F213 Smith 100.0 100.0
wide_area F106 Navarro 0.0 0.0
wide_area F129 Navarro 100.0 100.0
wide_area F158 Navarro 100.0 100.0
wide_area F213 Navarro 100.0 100.0
wide_area F106 Meli 0.9263157894736843 0.9216589861751152
wide_area F158 Meli 39.32631578947368 39.63133640552996
wide_area F184 Meli 32.71578947368421 33.05404273146208
wide_area F129 Lucas 53.80952380952381 53.80952380952381
wide_area F158 Lucas 53.80952380952381 53.80952380952381
wide_area F213 Lucas 53.80952380952381 53.80952380952381
wide_area F087 Bahramian 0.0 0.0
wide_area F129 Bahramian 17.01869806094183 24.278392230914488
wide_area F158 Bahramian 17.01869806094183 24.278392230914488
wide_area F184 Bahramian 13.452216066481995 20.79848934448341
wide_area F213 Bahramian 17.01869806094183 24.278392230914488
wide_area F146 Bahramian 0.0 0.0
wide_area F087 Carey1 0.0 0.0
wide_area F106 Carey1 0.0 0.0
wide_area F129 Carey1 88.90784982935153 89.58333333333334
wide_area F158 Carey1 88.90784982935153 89.58333333333334
wide_area F184 Carey1 75.76791808873719 77.24358974358975
wide_area F213 Carey1 88.90784982935153 89.58333333333334
wide_area F184 Rich 78.89733840304183 84.95934959349594
wide_area F213 Rich 78.89733840304183 84.95934959349594
wide_area F158 Ivanov 55.54705432287682 66.87571265678449
wide_area F213 Ivanov 55.54705432287682 66.87571265678449
wide_area F129 Schlafly 81.42681426814268 81.42681426814268
wide_area F158 Schlafly 81.42681426814268 81.42681426814268
wide_area F184 Schlafly 77.73677736777368 77.73677736777368
wide_area F213 Schlafly 81.42681426814268 81.42681426814268
wide_area F106 Drew 1.7877094972067038 1.756311745334797
wide_area F158 Drew 80.67039106145252 80.57080131723382
wide_area F213 Drew 80.67039106145252 80.57080131723382
wide_area F106 Zucker 0.8177570093457943 0.8177570093457943
wide_area F129 Zucker 79.43925233644859 79.43925233644859
wide_area F158 Zucker 79.43925233644859 79.43925233644859
wide_area F213 Zucker 79.43925233644859 79.43925233644859
wide_area F129 De_Furio2 69.79768786127167 70.05730659025788
wide_area F158 De_Furio2 69.79768786127167 70.05730659025788
wide_area F213 De_Furio2 69.79768786127167 70.05730659025788
wide_area F087 De 0.0 0.0
wide_area F158 De 92.15406562054208 92.15406562054208
wide_area F213 De 92.15406562054208 92.15406562054208
wide_area F146 De 0.0 0.0
wide_area F087 Carey 0.0 0.0
wide_area F106 Carey 0.0 0.0
wide_area F129 Carey 88.90784982935153 89.58333333333334
wide_area F158 Carey 88.90784982935153 89.58333333333334
wide_area F184 Carey 75.76791808873719 77.24358974358975
wide_area F213 Carey 88.90784982935153 89.58333333333334
wide_area F062 Sankrit 0.0 0.0
wide_area F129 Sankrit 70.75376884422111 70.75376884422111
wide_area F184 Sankrit 65.52763819095478 65.52763819095478
wide_area F213 Sankrit 70.75376884422111 70.75376884422111
wide_area F106 Gallart 0.547945205479452 0.547945205479452
wide_area F129 Gallart 32.21917808219178 32.21917808219178
wide_area F213 Gallart 32.21917808219178 32.21917808219178
wide_area F213 Craig1 76.92307692307693 76.92307692307693
wide_area F062 Sabin 0.0 0.0
wide_area F129 Sabin 46.835443037974684 53.52697095435685
wide_area F158 Sabin 46.835443037974684 53.52697095435685
wide_area F213 Sabin 46.835443037974684 53.52697095435685
wide_area F129 Minniti_GCs 61.969111969111964 61.969111969111964
wide_area F158 Minniti_GCs 61.969111969111964 61.969111969111964
wide_area F213 Minniti_GCs 61.969111969111964 61.969111969111964
wide_area F129 Saito 61.969111969111964 61.969111969111964
wide_area F158 Saito 61.969111969111964 61.969111969111964
wide_area F213 Saito 61.969111969111964 61.969111969111964
wide_area F213 Craig 16.462904036174844 16.462904036174844
