Survey_strategy Survey_region Science_case Science_region Optic M6_%nvisits M6_%duration
time_domain time_domain_TDS_Baades_Windows Paladini2 Paladini2_Paladini2 F213 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Paladini2 Paladini2_Paladini2 F213 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Paladini2 Paladini2_Paladini2 F213 0.0 0.0
time_domain time_domain_TDS_Carina Paladini2 Paladini2_Paladini2 F213 0.0 0.0
time_domain time_domain_TDS_Serpens_W40 Paladini2 Paladini2_Paladini2 F213 100.0 85.71428571428571
time_domain time_domain Benecchi Benecchi_Benecchi1 F146 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6528 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6528 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6528 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6528 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6528 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6522 F062 0.33333333333333337 100.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6522 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6522 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6522 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6522 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_VVV_CL001 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_VVV_CL001 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_VVV_CL001 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_VVV_CL001 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_VVV_CL001 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_UKS1 F062 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_UKS1 F062 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_UKS1 F062 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_UKS1 F062 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_UKS1 F062 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6528 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6528 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6528 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6528 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6528 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_NGC6522 F087 0.33333333333333337 100.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_NGC6522 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_NGC6522 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_NGC6522 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_NGC6522 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_VVV_CL001 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_VVV_CL001 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_VVV_CL001 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_VVV_CL001 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_VVV_CL001 F087 0.0 0.0
time_domain time_domain_TDS_Baades_Windows Kupfer Kupfer_UKS1 F087 0.0 0.0
time_domain time_domain_TDS_Galactic_Center Kupfer Kupfer_UKS1 F087 0.0 0.0
time_domain time_domain_TDS_NGC6334_6357 Kupfer Kupfer_UKS1 F087 0.0 0.0
time_domain time_domain_TDS_Carina Kupfer Kupfer_UKS1 F087 0.0 0.0
time_domain time_domain_TDS_W43 Kupfer Kupfer_UKS1 F087 0.0 0.0
time_domain time_domain_TDS_W43 Lian Lian_Carina F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog F184 0.0 0.0
time_domain time_domain_TDS_W43 DAmmando DAmmando_DAmmando_catalog F184 0.0 0.0
