Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F184 Anderson 62.98039215686274 62.98039215686274
panchromatic F184 Anderson 3.8431372549019605 3.8431372549019605
time_domain F184 Anderson 3.294117647058824 3.294117647058824
wide_area G150 Anderson 0.0 0.0
panchromatic G150 Anderson 3.8431372549019605 3.8431372549019605
time_domain G150 Anderson 0.0 0.0
wide_area F062 Villasenor 0.0 0.0
panchromatic F062 Villasenor 4.0189125295508275 3.1117397454031117
time_domain F062 Villasenor 4.964539007092199 4.667609618104668
wide_area F129 Villasenor 25.53191489361702 19.801980198019802
panchromatic F129 Villasenor 4.964539007092199 3.6775106082036775
time_domain F129 Villasenor 5.91016548463357 5.233380480905233
wide_area F213 Villasenor 25.53191489361702 19.801980198019802
panchromatic F213 Villasenor 4.964539007092199 3.6775106082036775
time_domain F213 Villasenor 5.91016548463357 5.233380480905233
