Survey_strategy Optic Science_case M1_%pix M1_%priority
wide_area F106 Minniti 0.0 0.0
panchromatic F106 Minniti 2.7659574468085104 2.7659574468085104
time_domain F106 Minniti 1.9148936170212765 1.9148936170212765
wide_area F158 Minniti 46.59574468085106 46.59574468085106
panchromatic F158 Minniti 2.7659574468085104 2.7659574468085104
time_domain F158 Minniti 1.9148936170212765 1.9148936170212765
wide_area F213 Minniti 46.59574468085106 46.59574468085106
panchromatic F213 Minniti 2.7659574468085104 2.7659574468085104
time_domain F213 Minniti 1.9148936170212765 1.9148936170212765
wide_area F213 Open_Clusters 2.366302738712065 6.373992270055566
panchromatic F213 Open_Clusters 0.12259437453737972 0.41861610440778135
time_domain F213 Open_Clusters 0.1480384900074019 0.38917379527424173
