Survey_strategy Optic M2_nstars
wide_area F062 0.0
wide_area F087 0.0
wide_area F106 666105615.5201381
wide_area F129 324515965371.79596
wide_area F158 346725017310.41846
wide_area F184 254457087242.54855
wide_area F213 364392217564.99976
wide_area F146 0.0
wide_area G150 0.0
wide_area P127 0.0
panchromatic F062 2321942308.0252657
panchromatic F087 4087129638.3298087
panchromatic F106 4873002157.466399
panchromatic F129 5546139879.827361
panchromatic F158 5949674228.508658
panchromatic F184 5993521608.064956
panchromatic F213 6274310650.6038475
panchromatic F146 0.0
panchromatic G150 5940133478.632093
panchromatic P127 5185845959.576003
time_domain F062 15433869353.741056
time_domain F087 26776759588.49296
time_domain F106 32421321815.98312
time_domain F129 36437410263.65356
time_domain F158 38766028343.743195
time_domain F184 38375230895.86535
time_domain F213 40593226547.17489
time_domain F146 0.0
time_domain G150 0.0
time_domain P127 0.0
