Survey_strategy Optic Science_case Category M3_%regions M3_count
wide_area F106 Wang galactic_center 0.0 0
panchromatic F106 Wang galactic_center 0.0 0
time_domain F106 Wang galactic_center 100.0 1
wide_area F158 Wang galactic_center 100.0 1
panchromatic F158 Wang galactic_center 0.0 0
time_domain F158 Wang galactic_center 100.0 1
wide_area F213 Wang galactic_center 100.0 1
panchromatic F213 Wang galactic_center 0.0 0
time_domain F213 Wang galactic_center 100.0 1
wide_area F184 Rich2 galactic_center 100.0 2
panchromatic F184 Rich2 galactic_center 0.0 0
time_domain F184 Rich2 galactic_center 100.0 2
wide_area F213 Rich2 galactic_center 100.0 2
panchromatic F213 Rich2 galactic_center 0.0 0
time_domain F213 Rich2 galactic_center 100.0 2
wide_area G150 Rich2 galactic_center 0.0 0
panchromatic G150 Rich2 galactic_center 0.0 0
time_domain G150 Rich2 galactic_center 0.0 0
wide_area P127 Rich2 galactic_center 0.0 0
panchromatic P127 Rich2 galactic_center 0.0 0
time_domain P127 Rich2 galactic_center 0.0 0
